QB,RB,RB,WR,WR,WR,TE,FLEX,DST,QB Team ,RB Team ,RB Team ,WR Team ,WR Team ,WR Team ,TE Team ,FLEX Team ,DST Team ,QB Salary ,RB Salary ,RB Salary ,WR Salary ,WR Salary ,WR Salary ,TE Salary ,FLEX Salary ,DST Salary ,Projected Value,Scenario,Iteration
Cam Newton,Carlos Hyde,Marshawn Lynch,Stefon Diggs,Chris Hogan,Willie Snead,Delanie Walker,Kelvin Benjamin,Falcons,CAR,SF,OAK,MIN,NE,NO,TEN,CAR,ATL,5900,6600,5000,7100,6000,5000,4900,6000,3200,99.49,Scenario1,50
Drew Brees,Ezekiel Elliott,Mark Ingram,Michael Thomas,Julio Jones,T.Y. Hilton,Eric Ebron,Devonta Freeman,Chargers,NO,DAL,NO,LAR,ATL,IND,DET,ATL,LAC,7200,8200,4600,3000,8800,5300,3100,7300,2500,137.93,Scenario2,1
Matt Ryan,Dalvin Cook,Ezekiel Elliott,Michael Thomas,Larry Fitzgerald,Julio Jones,Charles Clay,Frank Gore,Raiders,ATL,MIN,DAL,LAR,ARI,ATL,BUF,IND,OAK,7400,6500,8200,3000,6100,8800,3700,4000,2300,134.67,Scenario2,2
Drew Brees,Dalvin Cook,Leonard Fournette,Michael Thomas,Jarvis Landry,Demaryius Thomas,Evan Engram,Ezekiel Elliott,Cowboys,NO,MIN,JAX,LAR,MIA,DEN,NYG,DAL,DAL,7200,6500,6700,3000,6500,6300,3000,8200,2500,132.97,Scenario2,3
Drew Brees,Ezekiel Elliott,Joe Mixon,Michael Thomas,Larry Fitzgerald,Marqise Lee,Jared Cook,LeSean McCoy,Bengals,NO,DAL,CIN,LAR,ARI,JAX,OAK,BUF,CIN,7200,8200,5700,3000,6100,4500,3400,8400,3500,131.63,Scenario2,4
Tom Brady,Ezekiel Elliott,Jacquizz Rodgers,Mike Evans,Michael Thomas,Julio Jones,Evan Engram,Marqise Lee,Lions,NE,DAL,TB,TB,LAR,ATL,NYG,JAX,DET,8000,8200,4400,7400,3000,8800,3000,4500,2700,131.37,Scenario2,5
Drew Brees,Dalvin Cook,Mark Ingram,Larry Fitzgerald,Demaryius Thomas,Julio Jones,Jared Cook,Jacquizz Rodgers,Lions,NO,MIN,NO,ARI,DEN,ATL,OAK,TB,DET,7200,6500,4600,6100,6300,8800,3400,4400,2700,126.86,Scenario2,6
Drew Brees,Dalvin Cook,DeMarco Murray,Julio Jones,Marqise Lee,Tyrell Williams,Evan Engram,Devonta Freeman,Raiders,NO,MIN,TEN,ATL,JAX,LAC,NYG,ATL,OAK,7200,6500,6000,8800,4500,4400,3000,7300,2300,126.63,Scenario2,7
Matt Ryan,Dalvin Cook,Mark Ingram,Jarvis Landry,Larry Fitzgerald,T.Y. Hilton,Evan Engram,Devonta Freeman,Broncos,ATL,MIN,NO,MIA,ARI,IND,NYG,ATL,DEN,7400,6500,4600,6500,6100,5300,3000,7300,3300,125.34,Scenario2,8
Tom Brady,Frank Gore,Devonta Freeman,Mike Evans,Larry Fitzgerald,Demaryius Thomas,Eric Ebron,T.Y. Hilton,Raiders,NE,IND,ATL,TB,ARI,DEN,DET,IND,OAK,8000,4000,7300,7400,6100,6300,3100,5300,2300,124.17,Scenario2,9
