Id,Name,Position,Team,Salary,Projected,Scored,Override,Alerts
85081,Trey Edmunds,RB,NO,3000,0,0,0,
85082,Taylor Gabriel,WR,ATL,4900,11.36,0,0,ExpectedStarter:1|PlayerIsHot:1
85083,Robert Woods,WR,LAR,4000,10.21,0,0,ExpectedStarter:1|PlayerMatchupIsGood:2|PlayerIsHot:1|StarBad:1
85084,Blake Bortles,QB,JAX,4700,16.34,0,0,ExpectedStarter:1|PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1|ThumbDown:1|ThumbUp:1|StarBad:1
85091,Jordan Howard,RB,CHI,6400,16.58,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerIsHot:1|VegasGood:1
85092,Erik Swoope,TE,IND,2500,0,0,0,PlayerMatchupIsGood:1|Injured:1
85095,Cameron Brate,TE,TB,4700,12.68,0,0,ExpectedStarter:1|PlayerMatchupIsHorribad:1|PlayerIsHot:2|OptimalPick:1
85099,Terron Ward,RB,ATL,3000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
85106,Derrick Coleman,RB,ATL,3000,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1
85113,Andy Janovich,RB,DEN,3000,0,0,0,PlayerMatchupIsGood:1
85114,Trent Taylor,WR,SF,3200,7.01,0,0,ExpectedStarter:1|StarGood:1
85125,David Johnson,RB,ARI,6500,0,0,0,Injured:1|ThumbDown:1
85126,Sammie Coates,WR,CLE,3000,0,0,0,PlayerMatchupIsGood:2
85127,Demetrius Harris,TE,KC,2800,0,0,0,PlayerMatchupIsGood:1|ThumbUp:1
85134,Seth DeValve,TE,CLE,2600,5.35,0,0,ExpectedStarter:1
85142,Rico Gathers,TE,DAL,2500,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsHorribad:1|Injured:1
85145,Ryan Grant,WR,WAS,3500,0,0,0,PlayerMatchupIsGreat:1|PlayerMatchupIsGood:1|ThumbUp:1
85148,Javorius Allen,RB,BAL,5300,11.08,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1
85149,Jay Cutler,QB,MIA,4700,10.22,0,0,ExpectedStarter:1|PlayerMatchupIsBad:1|PlayerMatchupIsGreat:1|StarBad:1
85150,Mark Sanchez,QB,CHI,4000,0,0,0,
85151,Daniel Brown,TE,CHI,2500,0,0,0,PlayerMatchupIsBad:1|PlayerMatchupIsGood:1
85155,Jaelen Strong,WR,JAX,3200,0,0,0,ThumbUp:1
85159,Phillip Dorsett,WR,NE,3700,0,0,0,
85160,Martellus Bennett,TE,GB,3300,7.73,0,0,ExpectedStarter:1
85161,Eric Saubert,TE,ATL,2500,0,0,0,
