"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_pct_ryb","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
20.9,0,"1",35.35,5,0,1.25,23.5,108.75,0.75,24,7,0.5,0,12,106.5,157,1,3
27.2,1,"1",27.475,6,0,1,22.75,96.25,0.5,41,3,0.25,0,16,57.25,211,0.25,1.75
10.9,0,"1",28.675,6,0,1,22.25,96,0.5,38,4,0.25,0,25.4,114.8,208,0.2,2.6
29.7,1,"1",24.15,5.5,0,0.75,21.25,75.25,0.25,58,5,0.25,0,29.6,123.6,254,0.2,2
29.4,0,"1",22.175,6,0,0.75,21,81.5,0.5,16,3,0,0,23.75,122.5,249.75,0.75,1.75
17.1,1,"1",22.84,3.4,0,1,26.4,106.4,0.6,12,1,0,0,22.2,115.4,230,0,3.6
23.3,1,"1",22.16,3.4,0,1,24.6,96.4,0.6,5,1,0,0,21,138.8,273.6,1,1.2
20.1,1,"1",20.9,3.5,0,1.5,22.25,91.25,0.25,0,0,0,0,37,234.75,246.5,0.75,2
25.7,0,"-1",21.825,3.25,0,1.5,22.25,97.5,0.5,15,5,0,1,13,109.75,210.25,2,2.5
12.5,1,"1",21.55,3.5,0,1.25,22.25,85,0.5,15,3,0,0,27,109.5,240,1,1.75
31.7,0,"1",20.4,3.5,0,0.75,25,100.25,0.5,15,5,0,0,21.8,132,201.8,0.2,2
16.3,0,"1",22.5,3.5,0,0.75,25.25,101.25,0.75,15,5,0,0,24.25,124.25,226.5,0.5,3.5
18.5,0,"-1",21.26,3.8,0,0.8,23,88.6,0.6,39,4,0,0,22.5,125.25,277.5,2,2.25
21.9,1,"1",20.94,4.8,0,0.8,21.2,75.6,0.4,4,2,0,0,27.6,104.4,274.4,0.2,1.4
19.9,0,"1",18.46,4.2,0,0.8,17.2,73.2,0.4,23,2,0,0,22.2,180.4,227,0.2,1.4
26.8,1,"1",17.32,5.4,0,0.2,19.4,78,0.2,57,4,0,0,28.2,126,256.4,1,2.2
32.1,1,"1",22.325,5,0,0.75,21.5,101,0.75,32,3,0,0,21.6,103.4,240.4,0.8,2.4
23.5,0,"1",26.35,5.5,0,1.25,19.75,102.5,0.75,13,4,0,1,22.4,96,231.4,0.6,1.2
42.3,0,"1",25.725,6.25,0,1,17.75,93.5,0.75,22,4,0,1,27.2,118,282,0.4,2
19.9,1,"1",29.04,6.2,0,1.2,18.2,105,0.8,63,2,0,1,19.5,125.75,256.75,1.25,4
21.5,1,"1",31.1,4.5,0,1,17.5,103.5,0.5,26,5,0,1,30.25,187.75,208,0,3.25
25.8,0,"1",20.7,5,0,0,17,67.5,0,21,2,0,0,27.75,160.75,226.75,1.75,3
14.7,0,"1",23.65,5.5,0,0.5,21.5,103,0.5,18,3,0,0,24,132.75,212.25,0.5,3.5
17.1,1,"1",20.6666666666667,5,0,0.333333333333333,23,101.666666666667,0.33,23,1,0,0,21.5,84.25,281.75,0.25,5
10.3,1,"-1",19.775,4.75,0,0.25,23.5,100.25,0.25,10,1,0,1,21.4,133.6,208.2,1.4,3
22.2,0,"1",13.15,7.5,0,0,13.5,25.5,0,59,5,0,1,29,104.6,260,0.4,2.2
29.5,0,"1",16.1666666666667,7,0,0,15,34.6666666666667,0,66,5,0,1,25.25,137.5,251,0.5,1.5
22.5,0,"1",10.76,4.6,0,0.2,8.2,40.6,0,76,8,0,0,19.2,133.4,220.2,0.8,1.8
20.5,1,"1",13.62,5,0,0.2,10.2,46.2,0,25,2,0,0,31.4,121.4,301.8,1,1.4
14.3,0,"1",18.825,5.5,0,0.75,12,55.5,0,19,3,0,0,18,100.5,216.75,1,3
27.2,1,"-1",16.85,6.25,0,0.5,12.75,55.75,0,34,5,0,1,26.2,113,250.4,0.8,1.6
16,0,"1",21.125,6.25,0,0.75,17.75,67.75,0,35,7,0,0,21.25,111.5,210,0.5,4.75
25,1,"1",19.5,6.25,0,0.75,16.25,66.75,0,27,4,0,0,21.4,122.6,231,1,1.8
26.7,0,"1",20.625,7.5,0,0.25,19.5,95,0.25,56,9,0,0,20.8,108.4,271.2,1.4,2.4
23.5,0,"1",21.84,8,0,0.4,18,88.2,0.2,16,3,0,0,17.75,107.75,188.25,0.5,1.75
32.5,1,"1",23.68,7.4,0,0.8,19,83.2,0.2,17,4,0,1,17.4,114.6,167.4,0.6,2
32.2,0,"1",24.74,7.2,0,0.8,19.8,93.2,0.4,31,4,0,1,20.6,113.8,254.8,1,2.6
35.2,1,"1",27.98,6.6,0,0.8,21.6,112.4,0.6,78,9,0,0,17,101.8,215,1.2,2.4
15.9,0,"1",22.14,6.4,0,0.6,19.2,87.8,0.4,36,5,0,0,22.2,107,239.6,0.4,1.4
35.8,1,"1",17.075,6,0,0.25,16.25,59.75,0,49,6,0,0,18.4,118.4,208.4,0.2,2
12,0,"1",21.325,5.5,0,0.5,17.5,88.75,0.25,17,2,0,0,13.6,75.8,225,0.6,3
14.9,1,"1",19.475,4.5,0,0.5,18.25,97.25,0.25,37,5,0,0,21.75,149,218.75,1.25,3
32,0,"1",19.65,5,0,0.25,17.5,99.25,0.25,48,2,0,1,28.8,132.2,240,0.4,1.6
21.5,0,"1",23.675,4.25,0,0.5,20.25,106.5,0.5,74,5,0,1,20.6,119.4,237.8,0.2,3.4
28.4,1,"1",23.24,4.8,0,0.4,19.6,91.4,0.4,49,2,0,0,16.2,77.2,254.8,0.8,2.8
22.8,1,"1",20.62,4.6,0,0.4,19,66.2,0.4,18,3,0,0,18,103.6,196.8,0.8,3.2
13.8,1,"1",22.2,4.2,0,0.4,19.8,83.8,0.6,17,3,0,0,23.6,182.8,186.4,1,2.4
29,0,"1",18.56,4.4,0,0.4,18.6,69.6,0.4,19,2,0,0,20.25,102.5,196,0.75,3
33.7,0,"1",18.75,4.75,0,0,22,104,0.5,21,3,0,1,21.2,141.6,158.2,1.2,2.8
30,1,"1",20.25,3.75,0,0.25,23,99.25,0.5,12,3,0,0,28.5,152,204.75,0.25,2.5
32.3,1,"1",23.15,3.25,0,1,24.75,101,0.5,71,6,0,1,26.5,101.5,249.25,0.5,2.75
10,1,"1",28.95,4.75,0,1.25,25.25,100.75,0.5,20,3,0,0,20.5,88.25,211.25,1.5,3.25
24.9,0,"1",26.5,4.5,0,1.25,21.5,86.5,0.25,38,8,0,0,23.2,98,279,0.2,2
13.6,0,"1",24.3,6.25,0,1.25,18.25,70.25,0,40,4,0,0,15.75,128.25,128,1,3
17.3,1,"-1",20.2,6.75,0,0.5,16.75,62.25,0,45,5,0,0,23,102.4,249.8,0.8,2.2
18,0,"-1",16.45,6.5,0,0.25,15,63.75,0,0,3,0,0,24.4,97.2,264.4,0.2,0.8
18.3,1,"-1",18.45,6.75,0,0.5,18,73.75,0,17,2,0,0,21.8,154.2,153.4,0.4,1.4
10.2,0,"1",16.8,5.5,0,0.25,20,85,0.25,5,3,0,0,17.8,99.8,204.2,0.4,2.8
39,1,"1",26.92,4,0,1.4,21,112,0.6,51,6,0,1,16.2,122.6,222.6,1,2.2
20.7,0,"1",28.82,4,0,1.2,23.2,129.2,0.8,62,6,0,1,15.25,88.75,180.75,1.25,2.25
32.9,0,"1",31.3,4.75,0,1.25,23,117,0.75,52,5,0,1,20.5,117.5,278.25,0.25,3
39.4,1,"-1",30.275,5.5,0,0.75,23.5,107.25,0.75,32,3,0,1,18.2,121.6,197.8,0.8,2.2
24.4,0,"1",33,6.25,0,0.5,24,125.75,0.75,15,3,0,0,16.2,108.8,193.4,0.6,2.8
18.4,1,"1",29.35,5.25,0,0.5,22.75,118.25,0.75,0,0,0,0,11.75,85.5,246.75,0.75,2.5
10.7,0,"1",28.775,3.5,0,0.5,24.5,148,1,10,4,0,0,21.2,102.8,178,0.4,2
17.7,1,"1",25.16,3.6,0,0.4,22.2,129.8,0.8,17,2,0,0,11,91.8,174.8,0.4,1.6
20.6,0,"1",22.12,2.6,0,0.6,24,118.4,0.6,1,1,0,1,26.8,159,236,0.6,1.2
22.9,0,"1",18.36,2.2,0,0.6,22,95,0.4,2,1,0,0,21.2,144.2,229,1.2,2
38.7,1,"1",18.06,2,0,0.6,22.6,98.6,0.4,9,1,0,0,18.2,87.6,188.6,0.6,2.2
16.2,0,"1",16.72,3.2,0,0.4,19.8,81,0.4,3,3,0,0,18,99.75,254,2,4
34.7,1,"1",13.04,3.2,0,0,17.4,73.4,0.2,4,3,0,0,20,121,184.75,0.25,3
30.3,0,"1",16.48,3.2,0,0.4,15.6,80.4,0.2,73,4,0,0,16.25,111.5,132.75,0.25,2.5
20.2,1,"1",21.5,3.25,0,1,17.5,86.75,0.25,7,2,0,0,25.4,116.4,230.2,0.2,3
8.4,0,"1",17.3333333333333,2.66666666666667,0,0.666666666666667,16.6666666666667,76.6666666666667,0.33,17,3,0,0,14,132,180.2,0.8,2.2
14.6,1,"-1",10.0333333333333,3,0,0,12.3333333333333,65.6666666666667,0.33,20,5,0,0,23,143,172.8,0,1.4
11.5,1,"1",11.175,4,0,0,15,68.25,0.25,11,2,0,0,16.4,90.2,178.8,0.4,3.4
19,0,"1",9,3.75,0,0,14,55.5,0,26,4,0,0,22.6,139.4,226.6,0.8,3
