"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
10.5,1,"1",7.9,4.25,15,3,0,21,116.5,222,0.75,2.25
7.2,0,"1",5.14,4.6,22,5,0,16,96.6,251,1.2,1.8
16.4,0,"1",8.2,3.66666666666667,94,7,0,17,79.8,238.8,0.2,1.6
7.2,1,"1",6,5.2,32,4,0,27.2,148.4,254.2,0.8,1.8
7.1,0,"1",6.375,6.25,31,4,0,17.75,106.75,269.25,0.5,2.75
13.2,0,"1",5.325,4.75,22,5,0,25.5,159.5,281.5,0.25,1.75
15.3,0,"1",8.25,6.75,63,3,0,19,107,180.2,0.4,3.2
7.2,0,"1",5.7,3,42,3,0,34.6,127.4,246.2,0.8,1.6
13.5,0,"1",9.925,3.5,31,5,0,27.75,168.25,174.75,1,1.75
17.7,0,"1",10.325,4,97,8,0,18,153.6,156,1,1.6
8.3,1,"1",11.575,6.25,43,4,0,19.25,80.5,205.75,0.5,2
9.2,0,"1",6.62,5.2,41,4,0,10.4,105.4,142.8,0.8,3.4
12.6,1,"1",7.66,6.6,33,4,0,12.2,83,236.8,0.8,2.6
13.6,0,"1",14.325,6,36,4,0,28.2,129.2,246.6,0.4,2.4
12.6,1,"1",17.375,6.75,66,6,0,24,108,235,1,2.25
10.5,1,"1",15.125,7.25,45,6,0,11,130.5,166.5,1,1.75
11,0,"1",8.7,5.8,70,4,0,17.75,114.5,191.75,0.5,1.5
11.8,1,"1",8.18,5.6,18,4,0,18.2,109.2,214,0.2,3
12.9,1,"1",8.02,5.4,39,3,0,21.2,141,179.8,0.8,2.2
11.9,0,"1",9.68,5.4,27,3,0,17.8,87,235,0.8,1.2
15.3,1,"1",9.96,4.6,94,6,0,12.6,88.8,141.4,0.4,2.2
18.7,0,"1",23.32,9,57,7,0.4,18.4,112.2,298,0.8,2.4
11,0,"1",9.8,5.5,60,5,0,23.6,114,282.2,0.8,2.2
28.7,1,"1",11,6,87,8,0,21,104,244.2,0.4,2
7.1,1,"1",5.72,5,31,4,0,19.5,113.5,165.25,0.75,2.5
7.8,1,"1",6.725,5.5,28,3,0,30.75,143.25,256.75,1,2.5
14,0,"1",7.875,6,70,7,0,17.6,103.4,291,0.4,3
7.9,1,"1",7.075,5.75,49,3,0,17.5,111,187.75,0.5,2.5
24.6,0,"1",7.24,5.8,96,9,0,27.2,105,241.8,1.2,1
14.3,0,"1",7.8,4.8,83,6,0.2,14,103.4,152.4,0.6,3.6
49.1,0,"1",8.64,5.2,211,7,0.2,21.8,122.2,218.8,1.4,1.8
14.6,0,"1",14.125,9.25,96,5,0.25,31.6,97.4,236.8,0.4,3
10.5,1,"1",5.5,7,55,5,0,17.2,87.4,185.2,0.8,3.4
27.3,0,"1",18.525,8.75,133,5,0.5,26.6,146,219.6,0.6,2
9.8,1,"1",18.625,7.5,46,5,0.5,22,58.75,200.75,0.25,2
21.8,0,"1",15.225,7,88,7,0.25,19,103.8,278,0.6,2.6
12.9,1,"1",16.95,8,79,5,0.25,16.75,97.75,209,0.25,2.75
22.7,0,"-1",14.64,8.2,79,7,0.2,20.8,92,244.4,0.4,3.2
10.2,1,"1",13.72,9.4,69,4,0,12,83,195.5,0.75,3.75
33,1,"1",9.44,8.2,120,6,0,15.6,102.6,196.6,0.4,2.4
25.9,1,"-1",17.54,9.4,129,10,0.4,23,130.75,240.5,0.5,1.25
38.3,0,"1",16.72,9,173,12,0.4,23.75,131.25,198,1.25,2.25
11.6,1,"1",22.34,10.2,56,6,0.6,15.8,111.6,187.2,1.2,2.8
15.7,1,"1",20.675,10.25,57,4,0.5,21,122.5,216.5,0.25,1.5
13.9,1,"1",17.95,8.75,59,2,0.25,26.25,96,213.75,0,3
7.9,0,"1",11.85,6,29,5,0,21,134.8,288.4,1.2,2.4
11.2,1,"1",9.5,5.8,72,4,0,16.6,100.6,213.6,0.4,2.6
