"fpts","ha","cond","l5g_avg_fpts","l5g_avg_ints","l5g_avg_tdp","l5g_avg_pa","l5g_avg_py","l5g_avg_pc","l5g_pct_pyb","l5g_avg_sacks","l5g_avg_fuml","l5g_avg_rec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
19.72,1,"1",16.595,0.75,1.5,35.5,244.25,22,0.25,0,0.25,0,17.2,103.6,223.4,1.2,2.2
23.9,0,"1",17.22,0.8,1.8,33.8,242,21.6,0.2,1,0.2,0,32,110.5,305.5,1,1
21.86,0,"1",18.344,0.4,1,37.4,300.6,25.2,0.4,2,0,0,14.8,86.6,259,0.8,1.8
23.32,1,"1",18.448,0.2,1,37.6,278.2,24.8,0.2,3,0,0,29.4,115.6,288.4,0.2,1.4
21.46,1,"1",18.644,0.2,1.2,32.4,266.6,22.4,0.2,3,0,0,19.4,118,227.4,0.8,2.8
12.66,0,"1",22.2,0.25,1.5,35.5,278.75,24,0.25,3,0.25,0,19.75,104.5,292.5,0,1.75
17.28,1,"1",19.825,0.5,1.25,32.5,262.5,20.75,0.25,1,0.25,0,29,124.5,223.75,0.25,3.25
14.72,0,"1",18.68,1,1.25,35.5,250.75,21.5,0.25,3,0.25,0,18,86,210,0.75,3
25.18,1,"1",16.53,1,1,40.5,244.5,23.25,0,0,0.75,0,25,104.6,275.2,0,1.2
16.9,0,"-1",17.46,0.75,1.25,37.75,256.5,22.25,0.25,4,0.5,0,28.5,136,222.75,0.25,0.75
11.38,1,"1",17.348,0.6,1.4,35.8,241.2,21.8,0.2,1,0.4,0,17,75,215.2,0.4,4
13.72,0,"1",17.092,0.6,1.2,35.4,231.8,21.8,0.2,3,0.4,0,21.2,71.8,215.6,0.4,1
13.44,1,"1",16.38,0.4,1.2,35,244,22.6,0.2,1,0.4,0,21.4,104,263,0.8,1.4
11.34,1,"1",17.515,0.75,1.5,35.75,282.25,24.25,0.5,5,0.5,0,21.2,75.8,209,0.8,1
14,1,"1",18.93,0.75,1.75,40.5,293.25,25.5,0.5,0,0.5,0,24.25,84.75,271.5,0.75,1
8.5,0,"1",20.08,0.75,2.25,38.25,273.25,24.25,0.5,7,0.5,0,17.75,115.5,193.5,0.25,3
7.64,0,"1",13.988,0.8,1.6,32,206.2,19,0.2,6,0.4,0,22.2,85.6,312,0.4,1
13.6,0,"1",5.46,0,0.5,16.5,99,8.5,0,0,0.5,0,22.8,164.8,206,0.6,1
15.3,1,"1",8.17333333333333,0.333333333333333,1,22.6666666666667,129.333333333333,12.6666666666667,0,2,0.333333333333333,0,23.2,127.2,196,0.4,2.2
10.32,0,"1",9.955,0.5,1.25,24,152,13.5,0,1,0.25,0,25.4,122.6,234.8,0.6,0.8
11.56,0,"1",9.39,1.5,0.5,30,176,14.5,0,1,1,0,34.25,132.5,224.25,1,2.75
19.12,1,"1",10.1133333333333,1.33333333333333,1,31,170.333333333333,15.3333333333333,0,1,1,0,17.2,103.2,181.8,0.6,2.8
9,0,"1",12.365,2.25,1.5,36,203.5,17.75,0.25,4,0.75,0,17.75,84.25,252.5,0.75,2.25
15.72,1,"1",13.385,2.25,1.75,41,215.25,20.5,0.25,4,0.75,0,14.2,77.4,208.8,1,2.8
10.04,1,"1",13.852,1.8,1.6,39.8,211.8,20.8,0.2,2,0.6,0,33.6,208.4,141,1,2
23,0,"1",7.34,1,1,19,116,13,0,2,0,0,16.25,105.75,185.25,1.5,3.25
10.5,1,"1",5.74,1,0,33,196,20,0,4,0,0,20.6,130.2,230.6,0.4,1.4
19.64,1,"1",21.39,1,1.5,44,294.75,23.75,0.5,3,0.25,0,29.2,130.4,291.8,0.6,2.6
16.68,0,"1",21.535,1,1,43.5,285.25,22.75,0.5,2,0.5,0,33.2,127.8,294.8,0.4,0.8
28.82,1,"1",19.075,1,0.75,41.5,281.25,23.75,0.25,1,0.5,0,15,93.75,261.25,0.75,4.5
19.18,0,"1",21.024,0.8,1,42.8,311.6,25,0.4,2,0.4,0,30.5,126.5,256.5,0.75,1.5
17.76,0,"1",18.084,0.8,0.6,37,284.6,22.4,0.2,1,0.6,0,22,116.5,279.5,1.25,2.75
13.6,1,"1",20.416,1,1,38.2,295.4,23.4,0.4,4,0.6,0,26.75,124.5,200.75,0.25,2
31.94,0,"1",19.208,1.2,1.2,39.8,306.2,24.2,0.4,2,0.4,0,26,138.8,236,0.2,1.4
8.54,1,"1",22.26,1.6,1.8,43,325,23.8,0.6,4,0.4,0,25.5,113.75,206.75,0.5,3
16.44,0,"1",18.204,2,1.6,40.2,277.6,21,0.4,5,0.4,0,25.2,106.4,295.8,1.4,2.4
