"fpts","ha","cond","l5g_avg_fpts","l5g_avg_trg","l5g_pct_pyb","l5g_avg_tdr","l5g_avg_ra","l5g_avg_ry","l5g_avg_recy","l5g_avg_rec","l5g_pct_recyb","l5g_avg_tdrec","l5g_oppdef_ptsa","l5g_oppdef_rya","l5g_oppdef_pya","l5g_oppdef_fumforc","l5g_oppdef_sacksforc"
10.7,0,"1",14.54,6.8,0,0,0,0,67,4,0,0,20.6,138.8,197.4,0.6,1.8
18.5,0,"1",30.2,11,0,0,0,0,95,9,0,0,16.2,130.2,186.2,0.2,4
9.6,0,"1",24.35,13.5,0,0,0,0,56,4,0,0,26.4,111,296,0.2,3
12.9,1,"1",19.4333333333333,10.6666666666667,0,0,0,0,69,6,0,0,24.25,122.25,228.5,0.75,2
21.3,0,"1",8.03333333333333,6.33333333333333,0,0,0,0,53,4,0,2,23,85,260.25,1.25,2.75
11,1,"1",11.35,6.25,0,0,0,0,50,6,0,0,21,88.8,203,0.4,2.2
13.6,0,"-1",11.7,7.25,0,0,0,0,76,6,0,0,14.5,87.5,212.25,0.75,3.25
14.8,1,"1",11.875,6.5,0,0,0,0,88,6,0,0,25,115.2,293,0.2,2
12.4,0,"1",12.76,6.8,0,0,0,0,34,3,0,1,18.6,59.6,216,0.8,3
8.8,0,"1",8.7,5.33333333333333,0,0,0,0,38,5,0,0,27,95.6,286.2,0.2,2.2
13.3,0,"1",8.13333333333333,7,0,0,0,0,33,4,0,1,15.4,115.8,175.8,1.4,2.8
18.5,1,"1",9.425,7.5,0,0,0,0,75,5,0,1,25.2,67.4,271.4,0.2,3.4
16.3,1,"1",11.24,7.8,0,0,0,0,63,4,0,1,23.25,143.25,181,0,2.25
7.7,1,"1",16.0333333333333,9,0,0,0,0,37,4,0,0,21,119.6,272.6,1.2,2.8
13.1,0,"1",14.1666666666667,7.33333333333333,0,0,0,0,61,5,0,0,25,111,262.6,0.4,3
23.4,0,"1",7.63333333333333,5,0,0,0,0,94,8,0,1,26.75,186.25,169.25,0.25,1.5
16.5,1,"1",11.575,7,0,0,0,0,55,5,0,1,19.4,120,232.6,1,1.8
12.3,0,"1",6.08,2,0,0,0,0,33,3,0,1,15.25,79,212,0.25,3.25
11.9,1,"1",11.575,5,0,0,0.25,3.25,61,4,0.25,0,14.4,102.4,156.6,0.4,1.6
10.4,0,"1",13.175,6,0,0,0.5,7.75,54,5,0.25,0,21,85.6,182,0.8,4
21.8,0,"1",8.875,5.5,0,0,0.25,4.5,48,5,0,2,21.25,104.25,278,0.75,2.25
7.8,1,"1",9.88,5.6,0,0,0.2,3.6,8,1,0,1,21,123,220.25,0.75,3
14.1,1,"-1",7.54,3.2,0,0,0,0,51,3,0,1,17.2,83,188.6,0.8,2.2
20.7,1,"1",5.72,2.6,0,0,0,0,31,4,0,2,11.5,124.25,163,0.25,2.25
19.8,1,"1",18.7,9,0,0,0,0,68,8,0.33,1,25.25,62.25,230,0.5,3.25
9.1,0,"1",15.2,11.5,0,0,0,0,9,2,0,1,17.4,110.2,171,0.2,2.2
13.5,1,"1",13.1666666666667,9,0,0,0.333333333333333,0.666666666666667,35,4,0,1,26,152.25,202.75,0.75,4.5
8.1,0,"1",13.25,8,0,0,0.25,0.5,41,4,0,0,17,116,211.75,0.5,2.25
8.4,1,"1",12.625,7,0,0,0.25,0.5,44,4,0,0,17,154.5,206.25,0.5,1
12.2,0,"1",9.775,5.25,0,0,0.25,0.5,62,6,0,0,17,92.5,230.25,0.75,2.75
11.3,1,"1",10.26,5.6,0,0,0.2,0.4,43,7,0,0,25.5,152.75,192.5,0.25,1.75
13.4,0,"1",10.7,6.6,0,0,0,0,84,5,0,0,23.4,113.4,188.6,0.6,2
32.5,0,"1",10.68,7,0,0,0,0,129,9,0,1,15.6,138,192.8,0.6,3.4
7.7,1,"1",15.56,8.2,0,0,0.2,3.2,36,4,0.2,0,18.2,67.6,232.2,0.2,2.4
32.4,1,"1",15.42,8,0,0,0.4,3.4,138,7,0.2,1,26.4,174,176,1,1.6
15,0,"1",9.2,4,0,0,0.5,2.5,30,6,0,1,14,68.2,192,0.6,3.2
10.4,1,"1",7.5,5,0,0,0,0,54,5,0,0,22.6,142.4,212.2,0.6,1.8
17.7,0,"1",5.6,3,0,0,0,0,97,8,0,0,21.8,120.6,234,0.2,2.2
25.8,1,"-1",11.65,8,0,0,0,0,58,8,0,2,18.6,94.8,284,1.6,2.8
25.2,1,"-1",16.3666666666667,9,0,0,0,0,92,10,0,1,16.2,97.2,185.8,0.4,3.4
9.4,1,"1",15.32,10.2,0,0,0,0,44,5,0,0,16.8,121.8,207,0.6,2.8
13.6,0,"1",7.56666666666667,2.33333333333333,0,0,0,0,46,3,0,1,22,129,276.75,1.25,2.5
16.5,1,"-1",6.2,2,0,0,0,0,105,3,0,0,23,150,202.5,0.5,1.75
7.6,1,"-1",7.225,2,0,0,0,0,6,1,0.25,1,18.2,84.4,211,0.6,3.6
20.6,0,"1",6.42,3.8,0,0,0,0,66,6,0,1,34.75,162.75,283.25,0.75,1
9.1,0,"1",5.52,2.6,0,0,0,0,11,2,0,1,24.25,107.75,215,1.25,2.75
8.2,1,"1",6.3,3,0,0,0,0,52,3,0,0,19.5,98.75,293.25,0.5,1.75
10.6,1,"1",6.43333333333333,5,0,0,0,0,26,3,0,1,24.8,122.6,230,0.6,2.8
14,1,"1",5.95,3.75,0,0,0,0,30,5,0,1,27,106.75,283.5,0.75,1.25
11.9,0,"1",6.1,6,0,0,0,0,29,3,0,1,25,136.4,268.2,0.4,1.8
14,1,"1",8.03333333333333,6,0,0,0,0,60,2,0,1,23.6,139.6,214.6,0.2,3
7.8,0,"1",9.525,5.5,0,0,0,0,48,3,0,0,21.4,79.2,232,0.8,2.2
13.6,0,"1",5.04,3,0,0,0,0,76,6,0,0,19.2,67.6,199.2,1.2,3.6
7.9,1,"1",5.78,4.2,0,0,0,0,9,1,0,1,24,132,224,0.75,1.5
11.5,1,"1",5.1,2.33333333333333,0,0,0,0,25,3,0,1,23.75,168.75,178.5,1.5,1.5
10.5,1,"1",6.7,2.75,0,0,0,0,45,6,0,0,11.5,86.25,222.25,0.75,3.75
7.7,1,"1",7.625,4,0,0,0,0,7,1,0,1,16.5,56.5,197,1,3.75
8.7,1,"1",8.425,4.5,0,0,0,0,7,2,0,1,16.6,110.6,206.6,0.8,2.6
11.7,0,"1",7.725,4.25,0,0,0,0,67,5,0,0,13.8,128.2,171.4,0.8,3.6
7.8,0,"1",6.36666666666667,4.66666666666667,0,0,0,0,8,1,0,1,32.5,181.75,216,0.25,1.75
7.3,0,"1",5.13333333333333,3.33333333333333,0,0,0,0,43,3,0,0,22,116.5,196.5,1,1.75
10,1,"1",6.9,3.5,0,0,0,0,10,3,0,1,21.25,145,200.75,1.25,2.5
7.1,1,"1",8.7,4,0,0,0,0,41,3,0,0,30.4,115.4,271,1,1.6
13.9,0,"1",5.84,3.2,0,0,0,0,79,6,0,0,23,111.6,223.2,0.6,2.4
13.3,1,"1",5.38,3.8,0,0,0,0,43,3,0,1,14,100.8,156,0.8,2
11.2,0,"1",7.28,2.4,0,0,0,0,12,2,0,1,28.75,193.5,249,0.75,0.5
7.9,0,"1",5.6,3,0,0,0,0,49,3,0,0,32.75,116.25,270.75,0.25,1
8.3,1,"1",6.36666666666667,3,0,0,0,0,43,4,0,0,17.4,83,240.2,0.2,2.2
10.8,1,"1",5.36666666666667,2.66666666666667,0,0,0,0,18,3,0,1,23,147.2,187.6,1.4,2.4
11.5,0,"1",18.575,8,0,0,0,0,75,4,0.5,0,26,163,221,0.8,1.8
16.1,1,"1",13.125,6.5,0,0,0,0,61,4,0.25,1,19,81.2,157.2,1,2.8
12.9,1,"1",10.3,5.75,0,0,0,0,39,3,0,1,18.75,98.25,214,1,3.5
16.7,0,"1",10.82,5.6,0,0,0,0,47,6,0,1,19.25,110.25,144.5,0.25,3.75
7.5,0,"1",12.2,6.8,0,0,0,0,35,4,0,0,24.6,138.8,170.8,0.6,0.8
7.3,1,"1",11.4,6.4,0,0,0,0,33,4,0,0,20.5,148,150.5,0.5,2.5
9.6,0,"1",12.1,7.2,0,0,0,0,16,2,0,1,26.2,126.4,255,0.8,1.8
17.4,0,"1",10.8,6.8,0,0,0,0,64,5,0,1,25.5,77.75,267,0.5,1.75
11.3,1,"1",11.7,7.4,0,0,0,0,73,4,0,0,13.6,99,247.8,1.6,3.4
25.1,1,"1",10.62,6.4,0,0,0,0,121,4,0,1,19.8,138.6,161,0.8,1.2
16.6,0,"1",14.14,6.4,0,0,0,0,96,7,0.2,0,15,82.6,226.4,0.8,2.4
8.6,1,"1",8.9,6.2,0,0,0,0,46,4,0,0,14,86.6,223.4,0.6,2.2
