Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
61,851830541,cascarruthers,0,120.46,DST Chiefs  WR Dez Bryant RB Le'Veon Bell RB Carlos Hyde FLEX Cameron Brate TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries QB Jameis Winston,,Jordan Howard,2.91%,7.6
62,853493978,44Brad44,0,120.24,WR Will Fuller V DST Bills  QB Aaron Rodgers WR Larry Fitzgerald RB Eddie Lacy FLEX Le'Veon Bell TE Austin Seferian-Jenkins WR DeVante Parker RB Duke Johnson Jr.,,Titans ,2.91%,9
63,853205843,tommyjohnweber,0,119.76,DST Chiefs  RB Latavius Murray TE Kyle Rudolph RB Frank Gore WR Jordy Nelson WR Dez Bryant FLEX Pierre Garcon WR Mike Evans QB Jameis Winston,,Wayne Gallman,2.91%,13.2
64,853336577,marshallbrown319,0,118.86,DST Ravens  WR Danny Amendola RB Le'Veon Bell TE Cameron Brate RB James White WR Mike Evans WR Adam Humphries FLEX DeVante Parker QB Jameis Winston,,Brandon Marshall,2.91%,3.5
65,851921932,Nookx,0,118.16,DST Eagles  WR Danny Amendola FLEX Dez Bryant TE Dwayne Allen RB Le'Veon Bell WR Chris Hogan WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,DeMarco Murray,2.91%,9.9
65,852679547,Michaelscarn,0,118.16,DST Eagles  WR Danny Amendola FLEX Dez Bryant TE Dwayne Allen RB Le'Veon Bell WR Chris Hogan WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Travis Kelce,2.91%,17.8
67,853461463,MikeHenry13,0,116.54,WR Will Fuller V RB Latavius Murray DST Jets  QB Aaron Rodgers RB Le'Veon Bell WR Paul Richardson TE Austin Seferian-Jenkins FLEX Mike Evans WR Cooper Kupp,,O.J. Howard,2.91%,0
68,852892167,chinknorris1,0,115.86,DST Chiefs  WR Danny Amendola RB Le'Veon Bell RB Carlos Hyde TE Cameron Brate WR Mike Evans QB Jameis Winston FLEX Duke Johnson Jr. WR Trent Taylor,,LeGarrette Blount,2.91%,7.4
69,851977114,jackacuff,0,115.66,WR Stefon Diggs DST Bills  FLEX Danny Amendola RB Bilal Powell WR Chris Hogan WR Mike Evans QB Jameis Winston RB Duke Johnson Jr. TE Hunter Henry,,Isaiah Crowell,2.91%,8.7
70,852721252,ds2244,0,113.84,WR Adam Thielen TE Kyle Rudolph DST Jets  RB Bilal Powell WR Jaron Brown QB Dak Prescott FLEX Mike Evans WR DeVante Parker RB Aaron Jones,,Kyle Rudolph,2.91%,16.5
71,853087474,Hothead2288,0,112.92,DST Ravens  QB Tom Brady RB Frank Gore TE Delanie Walker WR Alshon Jeffery RB Le'Veon Bell WR Jarvis Landry FLEX Javorius Allen WR Marqise Lee,,Steelers ,2.91%,5
72,853665543,richmurphy55,0,112.72,FLEX DeAndre Hopkins DST Browns  QB Tom Brady RB Frank Gore WR DeSean Jackson WR Chris Hogan WR DeVante Parker RB Isaiah Crowell TE Evan Engram,,Golden Tate,2.91%,9.8
73,852634754,AlkalineRob,0,111.84,RB Lamar Miller DST Bills  QB Aaron Rodgers WR Jeremy Maclin WR Dez Bryant RB Le'Veon Bell TE Tyler Kroft WR Mike Evans FLEX Jesse James,,Martellus Bennett,1.94%,8.3
74,851934429,Ring7scoming,0,111.66,QB Alex Smith FLEX Travis Kelce WR Stefon Diggs DST Lions  WR Danny Amendola RB Le'Veon Bell TE Jesse James WR Sterling Shepard RB Duke Johnson Jr.,,Kenny Stills,1.94%,2.3
75,853178480,A1manpaty,0,111.52,TE Travis Kelce RB Tarik Cohen DST Packers  QB Tom Brady WR Dez Bryant WR Golden Tate RB Mike Gillislee FLEX Theo Riddick WR Chris Hogan,,Torrey Smith,1.94%,15.7
76,853565880,TRAVDIBIASE,0,111.04,RB Latavius Murray DST Bills  RB Frank Gore TE Jared Cook QB Tyrod Taylor WR Antonio Brown WR Keenan Allen FLEX Chris Hogan WR Mike Evans,,Paul Richardson,1.94%,6.5
77,851397786,ohiost8,0,109.32,RB Latavius Murray DST Panthers  QB Tom Brady TE Delanie Walker WR Larry Fitzgerald RB Doug Martin WR Randall Cobb WR Chris Hogan FLEX Duke Johnson Jr.,,Hunter Henry,1.94%,13.2
78,851979688,keonip11,0,108.76,TE Zach Miller DST Cowboys  WR Terrance Williams RB Le'Veon Bell WR Jarvis Landry WR Adam Humphries QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Terrance Williams,1.94%,3.4
79,852658513,UTLambdas,0,108.56,FLEX Lamar Miller DST Bills  WR Dez Bryant RB LeGarrette Blount TE Dwayne Allen RB Le'Veon Bell WR Jarvis Landry WR Mike Evans QB Jameis Winston,,Jermaine Kearse,1.94%,13.8
79,853457741,MSVS,0,108.56,FLEX Lamar Miller DST Bills  WR Dez Bryant RB LeGarrette Blount TE Dwayne Allen RB Le'Veon Bell WR Jarvis Landry WR Mike Evans QB Jameis Winston,,J.D. McKissic,1.94%,6.6
81,852390167,denaboy4life,0,106.22,RB Lamar Miller DST Chiefs  QB Tom Brady RB Jonathan Stewart WR Jeremy Maclin FLEX Le'Veon Bell WR Jarvis Landry WR Mike Evans TE Jesse James,,Robert Woods,1.94%,12.4
82,851717709,ridfsguy,0,105.96,DST Bills  WR Jordy Nelson WR Pierre Garcon WR Kenny Stills FLEX Cameron Brate TE Jesse James QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott,,Carson Wentz,1.94%,31.26
83,852865218,FearToxin90,0,105.32,DST Eagles  QB Brian Hoyer WR Jaron Brown WR Kenny Stills RB Le'Veon Bell TE Austin Seferian-Jenkins WR Robby Anderson RB Todd Gurley II FLEX Ezekiel Elliott,,Tyler Kroft,1.94%,7.8
84,852531763,Squanto401k,0,105.16,DST Bengals  TE Delanie Walker RB Le'Veon Bell WR Robert Woods WR Jarvis Landry FLEX Ameer Abdullah QB Carson Wentz RB Todd Gurley II WR Zay Jones,,Raiders ,1.94%,0
85,853491428,gavdj,0,104.76,FLEX Lamar Miller DST Cardinals  TE Dwayne Allen RB Le'Veon Bell WR Chris Hogan WR Jarvis Landry RB Ameer Abdullah WR Mike Evans QB Jameis Winston,,Robby Anderson,1.94%,3.6
86,852208952,100percentfitPT,0,104.22,DST Ravens  QB Tom Brady FLEX Larry Fitzgerald WR Chris Hogan WR Mike Evans WR Brandin Cooks TE O.J. Howard RB Wayne Gallman RB Alex Collins,,Trent Taylor,1.94%,1.6
87,851517425,blaser1990cards,0,103.34,FLEX Jordan Howard DST Titans  RB Frank Gore QB Aaron Rodgers WR Cole Beasley WR Allen Hurns WR Mike Evans TE Eric Ebron RB Ezekiel Elliott,,Charles Clay,1.94%,5.1
88,852881169,psufans2,0,102.46,DST Bills  FLEX Martellus Bennett TE Dwayne Allen RB Le'Veon Bell WR Chris Hogan WR Mike Evans WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Alshon Jeffery,1.94%,6.1
89,853463863,deen67,0,101.42,DST Chiefs  TE Zach Miller QB Tom Brady WR Brandon Marshall WR Dez Bryant FLEX Shane Vereen RB Le'Veon Bell RB Todd Gurley II WR Cooper Kupp,,Javorius Allen,1.94%,18.5
90,853621338,HungryHungryHippies,0,100.06,DST Lions  WR Dez Bryant RB Le'Veon Bell TE Cameron Brate WR Adam Humphries WR DeVante Parker FLEX J.D. McKissic QB Jameis Winston RB Todd Gurley II,,Packers ,1.94%,12
91,852741245,APKiller,0,98.95999,FLEX Lamar Miller DST Chiefs  TE Dwayne Allen WR Jarvis Landry WR Mike Evans WR Adam Humphries QB Jameis Winston RB Todd Gurley II RB Ezekiel Elliott,,Joe Mixon,1.94%,11.1
92,853527057,redeyes7,0,97.49999,RB Jordan Howard WR Stefon Diggs TE Kyle Rudolph DST Jets  QB Eli Manning WR Jermaine Kearse WR Jaron Brown FLEX Ezekiel Elliott RB Joe Mixon,,Cooper Kupp,1.94%,7.4
93,851701317,MoneyTrain18,0,96.66,DST Cardinals  WR Danny Amendola WR Jaron Brown TE Dwayne Allen RB Le'Veon Bell WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II RB Ezekiel Elliott,,Eddie Lacy,1.94%,3.8
94,852824384,Buck22,0,95.26,DST Ravens  WR DeSean Jackson RB Bilal Powell WR Jaron Brown FLEX Chris Hogan WR DeVante Parker QB Jameis Winston RB Todd Gurley II TE Evan Engram,,Eli Manning,1.94%,15
95,851441780,Meathedd,0,95.02,WR Adam Thielen DST Eagles  QB Russell Wilson RB Le'Veon Bell FLEX Ameer Abdullah TE Austin Seferian-Jenkins WR Tyler Lockett WR Ricardo Louis RB Todd Gurley II,,Jared Cook,1.94%,4.5
96,853552309,Bbondsmvp,0,94.86,DST Eagles  WR Danny Amendola TE Dwayne Allen RB Le'Veon Bell FLEX Ameer Abdullah WR Mike Evans WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Antonio Brown,1.94%,28.7
97,853506010,Jwaz,0,94.26,RB Kareem Hunt DST Cardinals  WR Dez Bryant TE Dwayne Allen RB James White WR Mike Evans WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Browns ,1.94%,6
98,853452114,lil.lalo,0,93.38,WR Adam Thielen DST Vikings  RB Frank Gore TE Delanie Walker WR Larry Fitzgerald QB Ben Roethlisberger WR Jarvis Landry RB Jay Ajayi FLEX Christian McCaffrey,,Seahawks ,0.97%,16
99,851915454,oldraben,0,88.42,RB Kareem Hunt QB Mitchell Trubisky WR Adam Thielen DST Ravens  WR Brandon Marshall RB DeMarco Murray FLEX Rob Gronkowski TE Zach Ertz WR Paul Richardson,,Colts ,0.97%,2
100,853194689,danfouts1,0,88.3,WR Albert Wilson TE Travis Kelce DST Packers  WR Jordy Nelson FLEX Marshawn Lynch RB Le'Veon Bell RB Carlos Hyde QB Blake Bortles WR Donte Moncrief,,Panthers ,0.97%,8
101,853639984,Hammertime611,0,87.54,FLEX Latavius Murray WR Adam Thielen DST Jets  QB Carson Palmer TE Delanie Walker WR Larry Fitzgerald RB Bilal Powell RB Carlos Hyde WR Chris Hogan,,Russell Wilson,0.97%,12.52
102,853623912,Kylecunn,0,84.35999,WR Stefon Diggs DST Browns  TE Delanie Walker RB Mike Tolbert WR Alshon Jeffery RB Jay Ajayi QB Carson Wentz FLEX Ezekiel Elliott WR Trent Taylor,,Tyler Lockett,0.97%,6.3
103,853057250,lorenl,0,83.94,FLEX Lamar Miller DST Raiders  QB Aaron Rodgers WR Rishard Matthews RB Ameer Abdullah TE Tyler Kroft WR Mike Evans WR Robby Anderson RB Ezekiel Elliott,,Ricardo Louis,0.97%,12.1
,,,,,,,Cole Beasley,0.97%,18.3
,,,,,,,Allen Hurns,0.97%,4.1
,,,,,,,Eric Ebron,0.97%,1.6
,,,,,,,Tyreek Hill,0.97%,16.8
,,,,,,,Chargers ,0.97%,10
,,,,,,,Mitchell Trubisky,0.97%,11.32
,,,,,,,Rob Gronkowski,0.97%,0
,,,,,,,Zach Ertz,0.97%,18.1
,,,,,,,Alex Smith,0.97%,29.86
,,,,,,,Cowboys ,0.97%,5
,,,,,,,Nelson Agholor,0.97%,19.3
,,,,,,,Alex Collins,0.97%,5.5
,,,,,,,Josh McCown,0.97%,14.46
,,,,,,,LeSean McCoy,0.97%,14.9
,,,,,,,Sammy Watkins,0.97%,0
,,,,,,,Jonathan Stewart,0.97%,7.4
,,,,,,,Bengals ,0.97%,9
,,,,,,,Zay Jones,0.97%,1.9
,,,,,,,JuJu Smith-Schuster,0.97%,9.8
,,,,,,,Dak Prescott,0.97%,30.74
,,,,,,,Brian Hoyer,0.97%,25.12
,,,,,,,Rishard Matthews,0.97%,6.1
,,,,,,,Marqise Lee,0.97%,6.9
,,,,,,,Tarik Cohen,0.97%,2.2
,,,,,,,Mike Gillislee,0.97%,5.2
,,,,,,,Theo Riddick,0.97%,9.3
,,,,,,,Albert Wilson,0.97%,3.8
,,,,,,,Blake Bortles,0.97%,3.7
,,,,,,,Donte Moncrief,0.97%,6.2
,,,,,,,Matthew Stafford,0.97%,16.16
,,,,,,,Jaguars ,0.97%,28
,,,,,,,Vikings ,0.97%,6
,,,,,,,Ben Roethlisberger,0.97%,10.58
,,,,,,,Shane Vereen,0.97%,8.5
,,,,,,,Tyrod Taylor,0.97%,9.94
,,,,,,,Keenan Allen,0.97%,10.7
,,,,,,,Ed Dickson,0.97%,25.5
,,,,,,,David Njoku,0.97%,13.9
,,,,,,,Mike Tolbert,0.97%,6.4
,,,,,,,Carson Palmer,0.97%,15.64
