Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
85,852577778,underjones (3/3),0,107.06,DST Eagles  TE Cameron Brate RB James White WR Mike Evans WR Adam Humphries WR Robby Anderson QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Doug Martin,1.94%,15.2
88,853286398,Sanaynay,0,105.26,DST Jets  RB Le'Veon Bell TE Cameron Brate WR Chris Hogan FLEX Adam Humphries WR DeVante Parker QB Jameis Winston RB Todd Gurley II WR Trent Taylor,,Deonte Thompson,0.97%,0
89,854337920,NawrockiK,0,104.96,WR Stefon Diggs DST Lions  RB Bilal Powell RB LeGarrette Blount FLEX Andre Ellington TE Cameron Brate WR Chris Hogan WR Mike Evans QB Jameis Winston,,Martellus Bennett,0.97%,8.3
90,852367400,twb2v,0,104.9,DST Cardinals  QB Eli Manning FLEX Pierre Garcon WR Jermaine Kearse WR Jaron Brown WR T.Y. Hilton RB Le'Veon Bell RB Carlos Hyde TE Evan Engram,,Eli Manning,0.97%,15
91,853463518,Derek18,0,103.16,RB Tarik Cohen WR Stefon Diggs DST Lions  WR DeSean Jackson WR Pierre Garcon RB Carlos Hyde FLEX Chris Hogan TE Austin Seferian-Jenkins QB Jameis Winston,,Alex Collins,0.97%,5.5
92,854064531,stro2971,0,102.72,RB Jordan Howard DST Cardinals  WR DeSean Jackson WR Dez Bryant TE Charles Clay QB Russell Wilson RB Le'Veon Bell WR Chris Hogan FLEX O.J. Howard,,Cordarrelle Patterson,0.97%,0
93,852521830,ending (1/2),0,100.66,DST Chiefs  TE Dwayne Allen RB Le'Veon Bell WR TJ Jones WR Jarvis Landry WR Adam Humphries QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Jay Cutler,0.97%,7.48
93,852521831,ending (2/2),0,100.66,DST Chiefs  TE Dwayne Allen RB Le'Veon Bell WR TJ Jones WR Jarvis Landry WR Adam Humphries QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Javorius Allen,0.97%,18.5
95,853353180,Sandcastle7,0,99.52,TE Ryan Griffin DST Eagles  QB Tom Brady WR Jordy Nelson WR Danny Amendola RB Bilal Powell RB Carlos Hyde WR Devin Funchess FLEX Wayne Gallman,,Zach Ertz,0.97%,18.1
96,854283456,TheGeneral913,0,97.45999,DST Jets  FLEX Frank Gore WR Danny Amendola RB Bilal Powell WR Mike Evans WR Tyler Lockett QB Jameis Winston RB Ezekiel Elliott TE Evan Engram,,Eric Ebron,0.97%,1.6
97,851688052,MoneyTrain18 (1/2),0,96.66,DST Cardinals  WR Danny Amendola WR Jaron Brown TE Dwayne Allen RB Le'Veon Bell WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II RB Ezekiel Elliott,,Ryan Griffin,0.97%,4.2
98,853684526,RyanScott927,0,95.62001,RB Jordan Howard DST Cardinals  QB Tom Brady WR Danny Amendola FLEX DeSean Jackson RB Carlos Hyde WR Chris Hogan WR Mike Evans TE O.J. Howard,,Devin Funchess,0.97%,18.3
99,854233671,Fitnessfreak99,0,87.64,QB Deshaun Watson RB Jordan Howard FLEX Tarik Cohen WR Adam Thielen DST Lions  WR Jordy Nelson TE Charles Clay RB LeGarrette Blount WR Randall Cobb,,Mike Wallace,0.97%,19.3
100,853616953,Kylecunn,0,84.35999,WR Stefon Diggs DST Browns  TE Delanie Walker RB Mike Tolbert WR Alshon Jeffery RB Jay Ajayi QB Carson Wentz FLEX Ezekiel Elliott WR Trent Taylor,,Josh McCown,0.97%,14.46
101,852552882,Biesterfield,0,83.96,DST Cardinals  WR Golden Tate RB LeGarrette Blount TE Dwayne Allen RB Le'Veon Bell WR Mike Evans WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Martavis Bryant,0.97%,8.4
102,853061953,Catander,0,81.88,DST Ravens  QB Jay Cutler WR Kenny Stills RB Le'Veon Bell RB Jay Ajayi TE Austin Seferian-Jenkins WR Mike Evans WR DeVante Parker FLEX Thomas Rawls,,Mike Tolbert,0.97%,6.4
