Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Mohamed Sanu,4800,BUF@ATL 01:00PM ET,10.28,ATL
WR,J.J. Nelson,5600,SF@ARI 04:05PM ET,10.18,ARI
RB,Duke Johnson Jr.,4500,CIN@CLE 01:00PM ET,10.13,CLE
WR,Kelvin Benjamin,6000,CAR@NE 01:00PM ET,9.87,CAR
TE,Kyle Rudolph,4100,DET@MIN 01:00PM ET,9.85,MIN
WR,Jeremy Maclin,4500,PIT@BAL 01:00PM ET,9.78,BAL
TE,Jason Witten,5000,LAR@DAL 01:00PM ET,9.74,DAL
WR,Ted Ginn Jr.,3900,NO@MIA 09:30AM ET,9.71,NO
RB,James White,5000,CAR@NE 01:00PM ET,9.7,NE
WR,Kenny Stills,4300,NO@MIA 09:30AM ET,9.61,MIA
RB,Bilal Powell,4600,JAX@NYJ 01:00PM ET,9.54,NYJ
WR,Marvin Jones Jr.,4000,DET@MIN 01:00PM ET,9.48,DET
RB,Terrance West,4100,PIT@BAL 01:00PM ET,9.39,BAL
TE,Charles Clay,3700,BUF@ATL 01:00PM ET,9.31,BUF
TE,Eric Ebron,3100,DET@MIN 01:00PM ET,9.22,DET
WR,Jordan Matthews,3900,BUF@ATL 01:00PM ET,9.21,BUF
WR,Cole Beasley,4500,LAR@DAL 01:00PM ET,9.1,DAL
WR,Paul Richardson,4600,IND@SEA 08:30PM ET,9.09,SEA
RB,LeGarrette Blount,3900,PHI@LAC 04:05PM ET,9,PHI
WR,Allen Hurns,4700,JAX@NYJ 01:00PM ET,8.93,JAX
TE,Jared Cook,3400,OAK@DEN 04:25PM ET,8.9,OAK
WR,Jermaine Kearse,4600,JAX@NYJ 01:00PM ET,8.88,NYJ
WR,Taylor Gabriel,4100,BUF@ATL 01:00PM ET,8.87,ATL
WR,Robert Woods,3900,LAR@DAL 01:00PM ET,8.79,LAR
WR,Brandon LaFell,3800,CIN@CLE 01:00PM ET,8.79,CIN
RB,Javorius Allen,4700,PIT@BAL 01:00PM ET,8.75,BAL
RB,Ameer Abdullah,4200,DET@MIN 01:00PM ET,8.75,DET
TE,Evan Engram,3000,NYG@TB 04:05PM ET,8.66,NYG
TE,Coby Fleener,3400,NO@MIA 09:30AM ET,8.54,NO
RB,Alvin Kamara,3900,NO@MIA 09:30AM ET,8.47,NO
WR,Eric Decker,4200,TEN@HOU 01:00PM ET,8.43,TEN
WR,Terrance Williams,3600,LAR@DAL 01:00PM ET,8.43,DAL
WR,Martavis Bryant,5400,PIT@BAL 01:00PM ET,8.41,PIT
TE,Jack Doyle,3400,IND@SEA 08:30PM ET,8.41,IND
WR,Brandon Marshall,4600,NYG@TB 04:05PM ET,8.38,NYG
WR,Kenny Britt,4300,CIN@CLE 01:00PM ET,8.34,CLE
WR,Robby Anderson,3800,JAX@NYJ 01:00PM ET,8.34,NYJ
RB,Theo Riddick,4500,DET@MIN 01:00PM ET,8.33,DET
WR,Mike Wallace,3500,PIT@BAL 01:00PM ET,8.32,BAL
