"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Jermaine Kearse",3900,"NYJ@OAK 04:05PM ET",12.900,"NYJ"
"RB","Rob Kelley",3900,"WAS@LAR 04:25PM ET",3.000,"WAS"
"RB","Malcolm Brown",3900,"WAS@LAR 04:25PM ET",7.600,"LAR"
"RB","C.J. Prosise",3900,"SF@SEA 04:25PM ET",1.100,"SEA"
"TE","Martellus Bennett",3900,"GB@ATL 08:30PM ET",7.300,"GB"
"RB","Mike Tolbert",3800,"BUF@CAR 01:00PM ET",12.400,"BUF"
"WR","J.J. Nelson",3800,"ARI@IND 01:00PM ET",15.300,"ARI"
"RB","Marlon Mack",3800,"ARI@IND 01:00PM ET",11.500,"IND"
"WR","Marqise Lee",3800,"TEN@JAX 01:00PM ET",0.000,"JAX"
"RB","Wendell Smallwood",3800,"PHI@KC 01:00PM ET",1.900,"PHI"
"RB","Damien Williams",3800,"MIA@LAC 04:05PM ET",0,"MIA"
"RB","Chris Thompson",3800,"WAS@LAR 04:25PM ET",15.600,"WAS"
"RB","Samaje Perine",3800,"WAS@LAR 04:25PM ET",0.000,"WAS"
"RB","Matt Breida",3800,"SF@SEA 04:25PM ET",1.100,"SF"
"RB","Paul Perkins",3800,"DET@NYG 08:30PM ET",4.500,"NYG"
"RB","Dwayne Washington",3800,"DET@NYG 08:30PM ET",2.200,"DET"
"DST","Ravens ",3700,"CLE@BAL 01:00PM ET",25.000,"BAL"
"WR","Mike Williams",3700,"MIA@LAC 04:05PM ET",0,"LAC"
"RB","Aaron Jones",3700,"GB@ATL 08:30PM ET",0,"GB"
"DST","Panthers ",3600,"BUF@CAR 01:00PM ET",15.000,"CAR"
"RB","Chris Ivory",3600,"TEN@JAX 01:00PM ET",6.300,"JAX"
"WR","Taywan Taylor",3600,"TEN@JAX 01:00PM ET",3.400,"TEN"
"WR","Torrey Smith",3600,"PHI@KC 01:00PM ET",4.000,"PHI"
"WR","Eli Rogers",3600,"MIN@PIT 01:00PM ET",3.100,"PIT"
"WR","Adam Humphries",3600,"CHI@TB 01:00PM ET",0,"TB"
"TE","Hunter Henry",3600,"MIA@LAC 04:05PM ET",0.000,"LAC"
"WR","Jeremy Kerley",3600,"NYJ@OAK 04:05PM ET",0,"NYJ"
"WR","Terrance Williams",3600,"DAL@DEN 04:25PM ET",12.800,"DAL"
"RB","De'Angelo Henderson",3600,"DAL@DEN 04:25PM ET",0.000,"DEN"
"WR","Russell Shepard",3500,"BUF@CAR 01:00PM ET",13.300,"CAR"
"WR","Zay Jones",3500,"BUF@CAR 01:00PM ET",3.100,"BUF"
"RB","C.J. Spiller",3500,"PHI@KC 01:00PM ET",0,"KC"
"RB","Alvin Kamara",3500,"NE@NO 01:00PM ET",7.800,"NO"
"WR","Markus Wheaton",3500,"CHI@TB 01:00PM ET",0,"CHI"
"WR","Travis Benjamin",3500,"MIA@LAC 04:05PM ET",13.300,"LAC"
"DST","Raiders ",3500,"NYJ@OAK 04:05PM ET",2.000,"OAK"
"RB","Elijah McGuire",3500,"NYJ@OAK 04:05PM ET",0.000,"NYJ"
"RB","Devontae Booker",3500,"DAL@DEN 04:25PM ET",0,"DEN"
"WR","Ryan Grant",3500,"WAS@LAR 04:25PM ET",10.100,"WAS"
"WR","Tavon Austin",3500,"WAS@LAR 04:25PM ET",1.800,"LAR"
"WR","Josh Doctson",3500,"WAS@LAR 04:25PM ET",0.000,"WAS"
"WR","Marquise Goodwin",3500,"SF@SEA 04:25PM ET",5.100,"SF"
"TE","Austin Hooper",3500,"GB@ATL 08:30PM ET",23.800,"ATL"
"RB","Devante Mays",3500,"GB@ATL 08:30PM ET",0.000,"GB"
"RB","Dion Lewis",3400,"NE@NO 01:00PM ET",0.900,"NE"
"WR","Dontrelle Inman",3400,"MIA@LAC 04:05PM ET",0,"LAC"
"WR","Robby Anderson",3400,"NYJ@OAK 04:05PM ET",6.200,"NYJ"
"WR","Seth Roberts",3400,"NYJ@OAK 04:05PM ET",8.900,"OAK"
"DST","Broncos ",3400,"DAL@DEN 04:25PM ET",5.000,"DEN"
"TE","Jason Witten",3400,"DAL@DEN 04:25PM ET",18.900,"DAL"
"WR","Robert Woods",3400,"WAS@LAR 04:25PM ET",8.300,"LAR"
"DST","Giants ",3400,"DET@NYG 08:30PM ET",2.000,"NYG"
"RB","Orleans Darkwa",3400,"DET@NYG 08:30PM ET",2.300,"NYG"
"WR","Sammie Coates",3300,"CLE@BAL 01:00PM ET",0.000,"CLE"
"DST","Titans ",3300,"TEN@JAX 01:00PM ET",2.000,"TEN"
"WR","Albert Wilson",3300,"PHI@KC 01:00PM ET",8.700,"KC"
"WR","Brandon Coleman",3300,"NE@NO 01:00PM ET",3.300,"NO"
"WR","Laquon Treadwell",3300,"MIN@PIT 01:00PM ET",1.700,"MIN"
"TE","Jared Cook",3300,"NYJ@OAK 04:05PM ET",10.600,"OAK"
"RB","Rod Smith",3300,"DAL@DEN 04:25PM ET",0.000,"DAL"
"WR","Jeff Janis",3300,"GB@ATL 08:30PM ET",0.000,"GB"
"DST","Lions ",3300,"DET@NYG 08:30PM ET",16.000,"DET"
"RB","Zach Zenner",3300,"DET@NYG 08:30PM ET",0,"DET"
