Position,Name,teamAbbrev,Actual,Salary,AvgPointsPerGame,Ownership,OwnershipTier,,,
WR,Rodney Adams,MIN,0,3000,0.99,0%,L,,,
RB,Austin Ekeler,LAC,0,3000,0.98,0%,L,,,
TE,Luke Stocker,TB,0,2500,0.96,0%,L,,,
WR,Jehu Chesson,KC,0,3000,0.91,0%,L,,,
RB,Terron Ward,ATL,0,3000,0.89,0%,L,,,
RB,D.J. Foster,ARI,0,3500,0.88,0%,L,,,
RB,Wayne Gallman,NYG,0,3000,0.87,0%,L,,,
WR,Tanner McEvoy,SEA,0,3000,0.86,0%,L,,,
WR,Trevor Davis,GB,0,3000,0.85,0%,L,,,
RB,Jamize Olawale,OAK,0,3000,0.8,0%,L,,,
QB,Brock Osweiler,DEN,0,4200,0.79,0%,L,,,
WR,Noah Brown,DAL,0,3000,0.77,0%,L,,,
WR,Brandon Tate,BUF,0,3000,0.72,0%,L,,,
TE,Brandon Williams,IND,0,2500,0.71,0%,L,,,
TE,David Morgan,MIN,0,2500,0.7,0%,L,,,
TE,Jordan Leggett,NYJ,0,2500,0.7,0%,L,,,
TE,Lee Smith,OAK,0,2500,0.7,0%,L,,,
QB,Ryan Fitzpatrick,TB,0,4400,0.68,0%,L,,,
RB,John Kuhn,NO,0,3000,0.66,0%,L,,,
WR,Stacy Coley,MIN,0,3000,0.66,0%,L,,,
TE,Logan Paulsen,SF,0,2500,0.66,0%,L,,,
TE,Neal Sterling,NYJ,0,2500,0.66,0%,L,,,
WR,Isaiah McKenzie,DEN,0,3000,0.65,0%,L,,,
WR,Dwayne Harris,NYG,0,3000,0.63,0%,L,,,
TE,Troy Niklas,ARI,0,2500,0.63,0%,L,,,
TE,Eric Saubert,ATL,0,2500,0.62,0%,L,,,
RB,Akeem Hunt,KC,0,3000,0.6,0%,L,,,
TE,Jeremy Sprinkle,WAS,0,2500,0.6,0%,L,,,
WR,Chad Hansen,NYJ,0,3000,0.59,0%,L,,,
RB,Corey Clement,PHI,0,3000,0.58,0%,L,,,
TE,Geoff Swaim,DAL,0,2500,0.58,0%,L,,,
QB,Nick Foles,PHI,0,4300,0.55,0%,L,,,
WR,Quan Bray,IND,0,3000,0.5,0%,L,,,
WR,Demarcus Robinson,KC,0,3000,0.49,0%,L,,,
TE,Niles Paul,WAS,0,2500,0.48,0%,L,,,
RB,Taiwan Jones,BUF,0,3000,0.46,0%,L,,,
TE,Blake Bell,MIN,0,2500,0.46,0%,L,,,
QB,Bryce Petty,NYJ,0,4000,0.45,0%,L,,,
WR,Tre McBride,CHI,0,3000,0.45,0%,L,,,
QB,AJ McCarron,CIN,0,4700,0.43,0%,L,,,
QB,Kevin Hogan,CLE,0,4600,0.43,0%,L,,,
RB,Joe Banyard,BUF,0,3000,0.42,0%,L,,,
RB,Patrick DiMarco,BUF,0,3000,0.42,0%,L,,,
TE,Chris Manhertz,CAR,0,2500,0.41,0%,L,,,
TE,Darrell Daniels,IND,0,2500,0.41,0%,L,,,
WR,Austin Carr,NO,0,3000,0.4,0%,L,,,
RB,Terrell Watson,PIT,0,3000,0.38,0%,L,,,
WR,Chris Matthews,BAL,0,3000,0.36,0%,L,,,
WR,Kaelin Clay,BUF,0,3000,0.36,0%,L,,,
RB,Andy Janovich,DEN,0,3000,0.36,0%,L,,,
WR,Nick Williams,ATL,0,3000,0.36,0%,L,,,
RB,Jalston Fowler,TEN,0,3000,0.36,0%,L,,,
WR,Josh Malone,CIN,0,3000,0.33,0%,L,,,
TE,Nick Vannett,SEA,0,2500,0.32,0%,L,,,
TE,Ross Travis,KC,0,2500,0.31,0%,L,,,
RB,Anthony Sherman,KC,0,3000,0.3,0%,L,,,
QB,Mitchell Trubisky,CHI,0,4500,0.29,0%,L,,,
TE,Phillip Supernaw,TEN,0,2500,0.28,0%,L,,,
RB,Devante Mays,GB,0,3500,0.26,0%,L,,,
RB,Derek Watt,LAC,0,3000,0.26,0%,L,,,
WR,Jared Abbrederis,DET,0,3000,0.25,0%,L,,,
TE,Khari Lee,BUF,0,2500,0.25,0%,L,,,
RB,David Fluellen,TEN,0,3000,0.23,0%,L,,,
RB,Mack Brown,WAS,0,3000,0.23,0%,L,,,
RB,Rod Smith,DAL,0,3300,0.22,0%,L,,,
WR,Tanner Gentry,CHI,0,3000,0.22,0%,L,,,
WR,Marcus Johnson,PHI,0,3000,0.22,0%,L,,,
TE,Sean McGrath,LAC,0,2500,0.21,0%,L,,,
RB,Brian Hill,ATL,0,3000,0.2,0%,L,,,
QB,Patrick Mahomes II,KC,0,4700,0.19,0%,L,,,
QB,Austin Davis,SEA,0,4300,0.19,0%,L,,,
RB,James Develin,NE,0,3000,0.19,0%,L,,,
WR,Jakeem Grant,MIA,0,3000,0.19,0%,L,,,
TE,Eric Tomlinson,NYJ,0,2500,0.19,0%,L,,,
QB,Kyle Sloter,MIN,0,4000,0.18,0%,L,,,
WR,Johnny Holton,OAK,0,3000,0.18,0%,L,,,
TE,Logan Thomas,BUF,0,2500,0.18,0%,L,,,
TE,Ryan Hewitt,CIN,0,2500,0.18,0%,L,,,
TE,Jim Dray,ARI,0,2500,0.17,0%,L,,,
QB,Geno Smith,NYG,0,4500,0.16,0%,L,,,
QB,Cardale Jones,LAC,0,4500,0.16,0%,L,,,
QB,C.J. Beathard,SF,0,4200,0.16,0%,L,,,
QB,Nathan Peterman,BUF,0,4000,0.16,0%,L,,,
RB,Roosevelt Nix,PIT,0,3000,0.16,0%,L,,,
QB,Derek Anderson,CAR,0,5400,0.15,0%,L,,,
QB,Kellen Clemens,LAC,0,4000,0.15,0%,L,,,
QB,Kellen Moore,DAL,0,4000,0.15,0%,L,,,
QB,Colt McCoy,WAS,0,4700,0.14,0%,L,,,
QB,Sean Mannion,LAR,0,4200,0.13,0%,L,,,
QB,Brett Hundley,GB,0,4200,0.13,0%,L,,,
RB,Jay Prosch,HOU,0,3000,0.13,0%,L,,,
WR,Eric Weems,TEN,0,3000,0.13,0%,L,,,
QB,Jimmy Garoppolo,NE,0,5600,0.12,0%,L,,,
RB,Senorise Perry,MIA,0,3000,0.12,0%,L,,,
RB,J.D. McKissic,SEA,0,3000,0.12,0%,L,,,
RB,Keith Smith,DAL,0,3000,0.12,0%,L,,,
TE,Alan Cross,TB,0,2500,0.12,0%,L,,,
QB,Chad Henne,JAX,0,4300,0.11,0%,L,,,
QB,Matt Schaub,ATL,0,4300,0.11,0%,L,,,
QB,Jake Rudock,DET,0,4200,0.11,0%,L,,,
QB,Drew Stanton,ARI,0,4000,0.11,0%,L,,,
RB,Derrick Coleman,ATL,0,3000,0.11,0%,L,,,
RB,Tre Madden,SEA,0,3000,0.11,0%,L,,,
WR,Vince Mayle,BAL,0,3000,0.1,0%,L,,,
QB,Ryan Mallett,BAL,0,4000,0.09,0%,L,,,
QB,Chase Daniel,NO,0,4600,0.08,0%,L,,,
RB,C.J. Ham,MIN,0,3000,0.07,0%,L,,,
QB,Cooper Rush,DAL,0,4500,0.05,0%,L,,,
QB,Blaine Gabbert,ARI,0,4300,0.05,0%,L,,,
QB,Connor Cook,OAK,0,4300,0.01,0%,L,,,
QB,Andrew Luck,IND,0,5800,0,0%,L,,,
WR,John Brown,ARI,0,5100,0,0%,L,,,
WR,Willie Snead,NO,0,4500,0,0%,L,,,
RB,Doug Martin,TB,0,4500,0,0%,L,,,
QB,Christian Hackenberg,NYJ,0,4100,0,0%,L,,,
QB,Brandon Allen,LAR,0,4000,0,0%,L,,,
QB,Joe Webb,BUF,0,4000,0,0%,L,,,
QB,Paxton Lynch,DEN,0,4000,0,0%,L,,,
QB,Taysom Hill,NO,0,4000,0,0%,L,,,
QB,Brad Kaaya,CAR,0,4000,0,0%,L,,,
QB,Mark Sanchez,CHI,0,4000,0,0%,L,,,
QB,Joshua Dobbs,PIT,0,4000,0,0%,L,,,
WR,Josh Gordon,CLE,0,4000,0,0%,L,,,
QB,Davis Webb,NYG,0,4000,0,0%,L,,,
QB,Tyler Bray,KC,0,4000,0,0%,L,,,
QB,EJ Manuel,OAK,0,4000,0,0%,L,,,
WR,Will Fuller V,HOU,0,3800,0,0%,L,,,
WR,Mike Williams,LAC,0,3700,0,0%,L,,,
RB,Taquan Mizzell,CHI,0,3000,0,0%,L,,,
WR,Kalif Raymond,NYJ,0,3000,0,0%,L,,,
