Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
89,863635395,slade4841,0,106.4,DST Chiefs  RB Chris Thompson WR Chris Hogan FLEX Davante Adams WR Will Fuller V QB Deshaun Watson RB C.J. Anderson TE Evan Engram WR T.Y. Hilton,,Raiders ,1.94%,4
90,863643810,BreakThrow,0,103.1,TE Zach Miller QB Kevin Hogan FLEX Javorius Allen WR Davante Adams WR Michael Thomas WR Ricardo Louis RB Kareem Hunt RB Leonard Fournette DST Broncos ,,Jordan Reed,1.94%,7.7
91,863419238,pede0195,0,101.36,DST Falcons  FLEX Michael Crabtree QB Cam Newton TE Coby Fleener WR DeAndre Hopkins RB Samaje Perine RB Leonard Fournette WR JuJu Smith-Schuster WR T.Y. Hilton,,Martavis Bryant,1.94%,4.7
92,863222652,IBBALLIN14,0,100.22,DST Redskins  QB Aaron Rodgers WR Jordy Nelson FLEX Chris Thompson WR Allen Hurns TE Cameron Brate RB Aaron Jones RB Kareem Hunt WR Will Fuller V,,Albert Wilson,1.94%,0
93,863050301,Jaws1138,0,98.52,QB Aaron Rodgers WR Michael Crabtree WR Mike Wallace TE Cameron Brate RB Jerick McKinnon WR Chris Hogan FLEX Mike Evans RB C.J. Anderson DST Broncos ,,Austin Hooper,0.97%,11.8
94,863540914,chris_mccann,0,97.2,DST 49ers  WR Torrey Smith TE Cameron Brate WR DeAndre Hopkins WR Chris Hogan RB Aaron Jones RB Kareem Hunt FLEX Alvin Kamara QB Deshaun Watson,,Rishard Matthews,0.97%,10.9
95,863784325,legacycaptain11 (1/2),0,93.4,TE Zach Miller RB Mark Ingram WR Albert Wilson WR DeAndre Hopkins WR Michael Thomas QB Deshaun Watson RB C.J. Anderson DST Broncos  FLEX T.Y. Hilton,,Patriots ,0.97%,11
95,863792811,legacycaptain11 (2/2),0,93.4,TE Zach Miller RB Mark Ingram WR Albert Wilson WR DeAndre Hopkins WR Michael Thomas QB Deshaun Watson RB C.J. Anderson DST Broncos  FLEX T.Y. Hilton,,Jeremy Kerley,0.97%,14.1
97,863714519,jb2124,0,92.06001,QB Cam Newton WR Terrelle Pryor Sr. TE Ryan Griffin WR Martavis Bryant WR Kelvin Benjamin RB C.J. Anderson DST Broncos  RB DeMarco Murray FLEX T.Y. Hilton,,Adam Humphries,0.97%,11.1
98,863794663,br1203,0,91.52,QB Matt Ryan WR Danny Amendola WR Marvin Jones Jr. TE Jordan Reed RB Lamar Miller WR Martavis Bryant RB Kareem Hunt FLEX Tyreek Hill DST Titans ,,Derek Carr,0.97%,8.84
99,863236529,Szechuandumplings,0,88.8,DST Packers  RB Mike Gillislee TE Cameron Brate WR DeAndre Hopkins WR Jamison Crowder WR Michael Thomas RB Todd Gurley II FLEX Charcandrick West QB Deshaun Watson,,Tyler Higbee,0.97%,1
100,863039188,zytth,0,84.14,WR DeSean Jackson RB Jerick McKinnon WR Chris Hogan TE Tyler Higbee QB Jameis Winston RB Kareem Hunt WR Will Fuller V DST Broncos  FLEX T.Y. Hilton,,Robby Anderson,0.97%,11.6
101,862827896,UtahBob (1/2),0,82.6,DST Falcons  QB Kevin Hogan WR Jamison Crowder WR Davante Adams RB Kareem Hunt RB Leonard Fournette FLEX C.J. Anderson TE A.J. Derby WR T.Y. Hilton,,Duke Johnson Jr.,0.97%,6.9
102,863401433,AnygivnSunday,0,82.46,TE Ed Dickson QB Cam Newton FLEX Jaron Brown RB Lamar Miller WR Kelvin Benjamin WR Devin Funchess RB C.J. Anderson DST Broncos  WR T.Y. Hilton,,Allen Hurns,0.97%,6.7
103,863008682,twb2v,0,0,,,Mike Gillislee,0.97%,3.4
,,,,,,,Charcandrick West,0.97%,1.9
,,,,,,,Tom Brady,0.97%,17.18
,,,,,,,Jaron Brown,0.97%,4
,,,,,,,Doug Martin,0.97%,15.4
,,,,,,,Carlos Hyde,0.97%,24.5
,,,,,,,Marqise Lee,0.97%,15
,,,,,,,Samaje Perine,0.97%,13.7
,,,,,,,JuJu Smith-Schuster,0.97%,6.2
,,,,,,,Cardinals ,0.97%,5
,,,,,,,Eagles ,0.97%,8
,,,,,,,Blake Bortles,0.97%,14.54
,,,,,,,Torrey Smith,0.97%,1.6
,,,,,,,David Njoku,0.97%,2
,,,,,,,Tavarres King,0.97%,1.7
,,,,,,,Golden Tate,0.97%,22.6
,,,,,,,Christian McCaffrey,0.97%,22.4
,,,,,,,Bears ,0.97%,15
,,,,,,,Andre Ellington,0.97%,0
,,,,,,,Ben Roethlisberger,0.97%,12.88
,,,,,,,Ryan Griffin,0.97%,10.2
,,,,,,,Jets ,0.97%,4
,,,,,,,J.J. Nelson,0.97%,1.6
,,,,,,,Marquise Goodwin,0.97%,5.2
,,,,,,,Carson Wentz,0.97%,22.38
,,,,,,,Matt Ryan,0.97%,12.92
