player,position,Fantasy Points,FP deviation,Floor,Ceiling,Geometric mean,Median,New Projection,,Week,Name,Pos,DK points,New Predicted,Average Projection
Maxx Williams,TE,1.1,0.91,-0.71,2.92,0.77,0.8,#N/A,,,,,,,
Luke Stocker,TE,1.04,1.15,-1.27,3.35,0.32,0.58,#N/A,,,,,,,
Gavin Escobar,TE,0.98,0.83,-0.68,2.64,0.46,0.76,#N/A,,,,,,,
Blake Bell,TE,0.97,0.6,-0.23,2.16,0.76,0.93,#N/A,,,,,,,
Anthony Fasano,TE,0.91,0.8,-0.68,2.5,0.51,0.66,#N/A,,,,,,,
Rhett Ellison,TE,0.83,0.61,-0.39,2.04,0.47,0.65,#N/A,,,,,,,
Logan Paulsen,TE,0.82,0.79,-0.75,2.39,0.83,0.62,#N/A,,,,,,,
Brandon Bostick,TE,0.66,0.79,-0.93,2.25,0.37,0.2,#N/A,,,,,,,
Sean McGrath,TE,0.64,0.9,-1.15,2.44,0.93,0.2,#N/A,,,,,,,
Cole Wick,TE,0.62,0.4,-0.18,1.42,0.66,0.6,#N/A,,,,,,,
Nick OLeary,TE,0.53,0.69,-0.84,1.91,0.21,0.42,#N/A,,,,,,,
David Johnson,TE,0.46,0.25,-0.03,0.95,0.39,0.52,#N/A,,,,,,,
Clay Harbor,TE,0.43,0.38,-0.33,1.18,0.47,0.35,#N/A,,,,,,,
Andrew Quarless,TE,0.39,0.55,-0.71,1.48,1.16,0,#N/A,,,,,,,
Phillip Supernaw,TE,0.38,0.42,-0.46,1.22,0.54,0.3,#N/A,,,,,,,
David Morgan,TE,0.3,0.17,-0.05,0.64,0.39,0.39,#N/A,,,,,,,
Cory Harkey,TE,0.26,0.19,-0.12,0.64,0.18,0.23,#N/A,,,,,,,
Jim Dray,TE,0.26,0.29,-0.32,0.84,0.48,0.16,#N/A,,,,,,,
Jerell Adams,TE,0.21,0.21,-0.21,0.63,0.42,0.2,#N/A,,,,,,,
Temarrick Hemingway,TE,0.19,0.18,-0.17,0.54,0.29,0.15,#N/A,,,,,,,
Ben Braunecker,TE,0.15,0.26,-0.37,0.67,0.6,0,#N/A,,,,,,,
Ifeanyi Momah,TE,0.12,0.22,-0.31,0.56,0.5,0,#N/A,,,,,,,
Khari Lee,TE,0.12,0.16,-0.21,0.45,0.35,0,#N/A,,,,,,,
Orson Charles,TE,0,0,-0.01,0.01,0.01,0,#N/A,,,,,,,
Marcel Jensen,TE,0,0,0,0,,0,#N/A,,,,,,,
Asante Cleveland,TE,0,0,0,0,,0,#N/A,,,,,,,
Jerome Cunningham,TE,0,0,0,0,,0,#N/A,,,,,,,
Mitchell Henry,TE,0,0,0,0,,0,#N/A,,,,,,,
Brian Parker,TE,0,0,0,0,,0,#N/A,,,,,,,
Chase Coffman,TE,0,0,0,0,,0,#N/A,,,,,,,
Tony Moeaki,TE,0,0,0,0,,0,#N/A,,,,,,,
Rob Housler,TE,0,0,0,0,,0,#N/A,,,,,,,
Antonio Brown,WR,22.58,6.67,9.24,35.91,21.13,25.12,#N/A,,,,,,,
Julio Jones,WR,20.69,4.2,12.28,29.09,20.27,19.72,#N/A,,,,,,,
Jordy Nelson,WR,17.89,2.83,12.23,23.55,17.65,18.94,#N/A,,,,,,,
A.J. Green,WR,17.74,5.62,6.49,28.99,16.69,17.92,#N/A,,,,,,,
Odell Beckham,WR,17.02,1.89,13.23,20.81,16.91,17.34,#N/A,,,,,,,
Demaryius Thomas,WR,16.02,5.41,5.2,26.83,15.01,16.66,#N/A,,,,,,,
Jarvis Landry,WR,15.93,1.64,12.66,19.2,15.85,16.12,#N/A,,,,,,,
Brandon Marshall,WR,15.74,4.25,7.25,24.23,14.94,17.05,#N/A,,,,,,,
Mike Evans,WR,15.3,1.97,11.37,19.23,15.17,15.22,#N/A,,,,,,,
Jordan Matthews,WR,14.98,1.57,11.83,18.12,14.89,15.33,#N/A,,,,,,,
DeAndre Hopkins,WR,14.8,4.65,5.49,24.11,13.92,16.64,#N/A,,,,,,,
Alshon Jeffery,WR,14.78,1.74,11.31,18.25,14.68,15.31,#N/A,,,,,,,
T.Y. Hilton,WR,14.78,2.8,9.18,20.38,14.48,15.11,#N/A,,,,,,,
Marvin Jones,WR,14.46,1.91,10.64,18.27,14.33,14.22,#N/A,,,,,,,
Emmanuel Sanders,WR,14.42,1.87,10.69,18.16,14.31,13.87,#N/A,,,,,,,
Michael Crabtree,WR,14.29,1.73,10.82,17.75,14.18,14.42,#N/A,,,,,,,
Amari Cooper,WR,14.13,3.84,6.45,21.8,13.42,14.53,#N/A,,,,,,,
Larry Fitzgerald,WR,14.1,4.04,6.02,22.18,13.39,15.02,#N/A,,,,,,,
Kelvin Benjamin,WR,13.95,1.98,9.98,17.91,13.81,13.54,#N/A,,,,,,,
Julian Edelman,WR,13.58,3.33,6.93,20.23,13,14.52,#N/A,,,,,,,
Randall Cobb,WR,13.43,3.21,7.01,19.86,13.11,12.48,#N/A,,,,,,,
Stefon Diggs,WR,13.24,0.99,11.26,15.22,13.21,13.28,#N/A,,,,,,,
Steve Smith,WR,12.73,1.31,10.1,15.35,12.66,12.56,#N/A,,,,,,,
DeVante Parker,WR,12.55,1.89,8.77,16.32,12.4,12.33,#N/A,,,,,,,
Dez Bryant,WR,11.91,9.02,-6.13,29.96,15.7,14.18,#N/A,,,,,,,
Travis Benjamin,WR,11.61,2.9,5.81,17.41,11.15,13.05,#N/A,,,,,,,
John Brown,WR,11.3,3.19,4.92,17.68,10.74,12.58,#N/A,,,,,,,
DeSean Jackson,WR,11.2,2.75,5.7,16.7,10.73,11.77,#N/A,,,,,,,
Terrelle Pryor,WR,11.12,1.88,7.35,14.88,10.96,10.64,#N/A,,,,,,,
Victor Cruz,WR,11.01,6.74,-2.47,24.48,9.43,8.93,#N/A,,,,,,,
Sterling Shepard,WR,10.97,1.02,8.93,13,10.92,10.89,#N/A,,,,,,,
Phillip Dorsett,WR,10.95,1.98,6.98,14.91,10.76,11.38,#N/A,,,,,,,
Michael Floyd,WR,10.47,2.4,5.66,15.27,10.13,11.52,#N/A,,,,,,,
Torrey Smith,WR,10.32,1.72,6.87,13.77,10.18,9.76,#N/A,,,,,,,
Golden Tate,WR,10.2,2.96,4.29,16.12,9.63,10.54,#N/A,,,,,,,
Anquan Boldin,WR,9.78,0.65,8.48,11.08,9.76,9.64,#N/A,,,,,,,
Tavon Austin,WR,9.64,2.72,4.2,15.07,9.17,11.1,#N/A,,,,,,,
Will Fuller,WR,9.63,2.96,3.7,15.56,9.16,9.48,#N/A,,,,,,,
Kenny Stills,WR,9.38,1.2,6.99,11.78,9.31,9.46,#N/A,,,,,,,
Pierre Garcon,WR,9.29,2.46,4.38,14.21,8.85,9.98,#N/A,,,,,,,
Tyrell Williams,WR,9.23,3.9,1.42,17.04,7.7,11.01,#N/A,,,,,,,
Eddie Royal,WR,9.22,2.48,4.26,14.19,8.83,9.36,#N/A,,,,,,,
Cole Beasley,WR,9.16,2.18,4.79,13.53,8.79,10.23,#N/A,,,,,,,
Davante Adams,WR,9.06,1.02,7.03,11.1,9.01,8.94,#N/A,,,,,,,
Vincent Jackson,WR,8.9,1.8,5.3,12.49,8.73,8.14,#N/A,,,,,,,
Tajae Sharpe,WR,8.78,1.94,4.91,12.65,8.51,9.64,#N/A,,,,,,,
Mike Wallace,WR,8.78,2.47,3.85,13.71,8.3,10.04,#N/A,,,,,,,
Robert Woods,WR,8.73,2.38,3.97,13.49,8.32,10.04,#N/A,,,,,,,
Quincy Enunwa,WR,8.7,3.94,0.82,16.59,7.42,10.17,#N/A,,,,,,,
Ted Ginn,WR,8.34,2.14,4.06,12.61,8.04,9.2,#N/A,,,,,,,
Terrance Williams,WR,8.19,1.51,5.18,11.21,8.06,7.8,#N/A,,,,,,,
Rishard Matthews,WR,7.94,2.82,2.29,13.58,7.41,8.07,#N/A,,,,,,,
Jeremy Kerley,WR,7.9,3.52,0.86,14.94,6.68,8.77,#N/A,,,,,,,
Jamison Crowder,WR,7.86,2.66,2.53,13.18,7.32,8.6,#N/A,,,,,,,
Markus Wheaton,WR,7.8,2.62,2.56,13.03,7.31,7.68,#N/A,,,,,,,
Kenny Britt,WR,7.76,1.3,5.16,10.35,7.64,8.04,#N/A,,,,,,,
Seth Roberts,WR,7.67,0.76,6.16,9.19,7.64,7.62,#N/A,,,,,,,
Sammie Coates,WR,7.66,2.47,2.72,12.6,7.24,7.46,#N/A,,,,,,,
Mohamed Sanu,WR,7.57,1.87,3.84,11.3,7.26,8.12,#N/A,,,,,,,
Dontrelle Inman,WR,7.43,3.08,1.27,13.59,6.43,8.42,#N/A,,,,,,,
Quinton Patton,WR,7.27,1.32,4.62,9.92,7.16,7.15,#N/A,,,,,,,
Brandon LaFell,WR,7.23,2.1,3.02,11.43,6.91,7.08,#N/A,,,,,,,
Andrew Hawkins,WR,7.19,1.34,4.51,9.87,7.06,6.96,#N/A,,,,,,,
Danny Amendola,WR,7.07,3.94,-0.81,14.94,5.99,6.55,#N/A,,,,,,,
Nelson Agholor,WR,6.73,1.65,3.43,10.03,6.45,7.25,#N/A,,,,,,,
Chris Hogan,WR,6.54,1.9,2.73,10.35,6.21,7.06,#N/A,,,,,,,
Corey Brown,WR,6.53,2.28,1.96,11.09,5.97,6.96,#N/A,,,,,,,
Devin Funchess,WR,6.4,2.22,1.96,10.84,5.99,6.28,#N/A,,,,,,,
Tyler Boyd,WR,6.36,2.11,2.15,10.58,5.9,6.69,#N/A,,,,,,,
Adam Humphries,WR,6.31,2.12,2.07,10.55,5.96,5.87,#N/A,,,,,,,
Kamar Aiken,WR,6,2.81,0.39,11.61,5.42,4.68,#N/A,,,,,,,
Adam Thielen,WR,5.99,2.22,1.54,10.43,5.51,6.06,#N/A,,,,,,,
Robby Anderson,WR,5.54,3.47,-1.4,12.49,3.17,6.26,#N/A,,,,,,,
Dorial Green-Beckham,WR,5.34,1.24,2.87,7.81,5.16,5.84,#N/A,,,,,,,
Kendall Wright,WR,5.22,2.67,-0.11,10.56,3.56,5.86,#N/A,,,,,,,
Charles Johnson,WR,5.07,1.67,1.72,8.41,4.74,4.83,#N/A,,,,,,,
Brice Butler,WR,4.98,4.11,-3.24,13.2,3.29,2.76,#N/A,,,,,,,
Breshad Perriman,WR,4.86,2.24,0.39,9.34,4.19,5.65,#N/A,,,,,,,
Ricardo Louis,WR,4.72,3.16,-1.59,11.04,3.17,5,#N/A,,,,,,,
Walt Powell,WR,4.71,2.46,-0.21,9.63,2.98,5.6,#N/A,,,,,,,
Chester Rogers,WR,4.63,2.61,-0.58,9.84,5.63,5.11,#N/A,,,,,,,
Brian Quick,WR,4.37,1.89,0.58,8.15,3.93,4.31,#N/A,,,,,,,
Andre Johnson,WR,4.32,1.31,1.7,6.95,4.07,4.38,#N/A,,,,,,,
Marquise Goodwin,WR,4.24,2.29,-0.33,8.81,3.7,3.7,#N/A,,,,,,,
Bennie Fowler,WR,4.03,2.11,-0.18,8.24,3.32,4.01,#N/A,,,,,,,
