Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
99,853770240,Krawdawg,0,159.98,WR Will Fuller V DST Seahawks  TE Jason Witten QB Ben Roethlisberger FLEX Pierre Garcon WR Antonio Brown RB Melvin Gordon WR Sterling Shepard RB Christian McCaffrey,,Tarik Cohen,1.49%,2.2
100,853439990,blar10,0,159.92,WR Stefon Diggs DST Vikings  QB Tom Brady WR Danny Amendola WR T.Y. Hilton TE Cameron Brate FLEX James White RB Melvin Gordon RB Aaron Jones,,Allen Hurns,1.49%,4.1
101,853399091,dukeluke,0,159.76,DST Bills  WR DeSean Jackson WR T.Y. Hilton RB Le'Veon Bell RB James White WR Chris Hogan FLEX Jarvis Landry TE Austin Seferian-Jenkins QB Jameis Winston,,Nelson Agholor,1.45%,19.3
102,854098715,sugarshane1313,0,159.74,FLEX Will Fuller V DST Ravens  RB Frank Gore QB Aaron Rodgers WR Jordy Nelson WR T.Y. Hilton TE Austin Seferian-Jenkins WR DeVante Parker RB Melvin Gordon,,Martavis Bryant,1.38%,8.4
103,853619255,cjcamp2,0,159.66,DST Cardinals  WR Dez Bryant WR Pierre Garcon WR T.Y. Hilton RB Le'Veon Bell TE Austin Seferian-Jenkins QB Jameis Winston RB Duke Johnson Jr. FLEX Aaron Jones,,Jacoby Brissett,1.38%,21.96
104,851092710,AnchorX,0,159.36,WR Will Fuller V FLEX Tyreek Hill DST Lions  WR Chris Hogan TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Duke Johnson Jr. RB Leonard Fournette,,Bengals ,1.31%,9
104,852898591,bullruns,0,159.36,DST Eagles  WR Dez Bryant WR T.Y. Hilton WR Chris Hogan FLEX Ameer Abdullah TE Austin Seferian-Jenkins RB Melvin Gordon QB Jameis Winston RB Todd Gurley II,,Rams ,1.31%,8
106,851708904,Sisco510,0,159.16,WR DeAndre Hopkins DST Vikings  TE Martellus Bennett WR T.Y. Hilton RB Eddie Lacy FLEX Le'Veon Bell WR Adam Humphries RB Melvin Gordon QB Jameis Winston,,Eli Manning,1.31%,15
107,854118814,Midwes,0,159.08,WR DeAndre Hopkins DST Jets  QB Joe Flacco FLEX Torrey Smith WR Cole Beasley RB Le'Veon Bell TE Austin Seferian-Jenkins WR Mike Evans RB Melvin Gordon,,Chargers ,1.31%,10
108,851899902,Kriznak,0,159.06,WR Will Fuller V WR Stefon Diggs DST Vikings  FLEX T.Y. Hilton TE Cameron Brate WR Mike Evans RB Melvin Gordon QB Jameis Winston RB Duke Johnson Jr.,,Kyle Rudolph,1.27%,16.5
109,852456814,MetsFan2727,0,158.96,TE Travis Kelce DST Lions  WR Danny Amendola RB Le'Veon Bell FLEX Cameron Brate WR Chris Hogan WR Adam Humphries QB Jameis Winston RB Leonard Fournette,,Donte Moncrief,1.27%,6.2
