Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
43,853649349,drew_barmore32,0,129.16,WR Adam Thielen DST Eagles  WR Danny Amendola RB Le'Veon Bell FLEX James White TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott,,Jeremy Maclin,4.39%,10.3
47,853767908,cutman1013,0,129.04,DST Ravens  WR Danny Amendola WR Dez Bryant RB Andre Ellington RB Carlos Hyde WR Jarvis Landry QB Dak Prescott TE Austin Seferian-Jenkins FLEX Todd Gurley II,,Zach Miller,3.51%,12.9
48,853423054,jmryan1234,0,128.96,DST Ravens  WR Danny Amendola RB Le'Veon Bell RB James White FLEX Ameer Abdullah TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston WR Devin Funchess,,Aaron Rodgers,3.51%,24.04
49,853529471,pdpablo,0,127.96,DST Bengals  WR Danny Amendola WR Dez Bryant RB Le'Veon Bell TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston FLEX Duke Johnson Jr. RB Todd Gurley II,,Will Fuller V,3.51%,20.2
50,853664021,THEROBBOB20,0,127.56,DST Bills  FLEX Le'Veon Bell RB James White WR Chris Hogan WR Jarvis Landry TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Hunter Henry,3.51%,13.2
51,853622258,JustnPayne,0,126.82,DST Jets  QB Tom Brady WR Danny Amendola WR DeSean Jackson TE Charles Clay RB Le'Veon Bell RB James White FLEX Chris Hogan WR Adam Humphries,,Leonard Fournette,3.51%,34.4
52,853734195,comegetsomeohyea,0,126.42,WR Adam Thielen DST Browns  QB Tom Brady TE Charles Clay FLEX Cameron Brate RB James White WR Chris Hogan WR DeVante Parker RB Leonard Fournette,,Bengals ,2.63%,9
53,853595064,TurkLahammer,0,125.82,DST Bills  QB Tom Brady RB LeSean McCoy TE Austin Seferian-Jenkins FLEX Mike Evans WR Adam Humphries RB Melvin Gordon WR Brandin Cooks WR Trent Taylor,,Rishard Matthews,2.63%,6.1
54,853417340,ragepaladin,0,125.76,DST Eagles  WR Danny Amendola WR Dez Bryant RB Le'Veon Bell TE Cameron Brate WR Adam Humphries QB Jameis Winston RB Ezekiel Elliott FLEX Evan Engram,,Keenan Allen,2.63%,10.7
55,853553618,warrenzevon,0,125.36,DST Ravens  QB Josh McCown FLEX Jordy Nelson WR Dez Bryant RB LeSean McCoy WR T.Y. Hilton TE Austin Seferian-Jenkins WR Sammy Watkins RB Christian McCaffrey,,Jared Cook,2.63%,4.5
56,853676862,ccshrts,0,125.06,DST Jets  WR Dez Bryant WR Jaron Brown RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston FLEX Ezekiel Elliott,,Christian McCaffrey,2.63%,14.8
57,853660243,a_17,0,123.66,DST Eagles  WR Dez Bryant FLEX Andre Ellington RB Le'Veon Bell RB James White TE Austin Seferian-Jenkins WR Mike Evans WR Robby Anderson QB Jameis Winston,,Sterling Shepard,2.63%,1.9
58,853707138,wyo56,0,123.16,QB Alex Smith WR Tyreek Hill TE Travis Kelce DST Bills  WR Danny Amendola RB DeMarco Murray RB Doug Martin FLEX Mike Evans WR Sammy Watkins,,Larry Fitzgerald,2.63%,11.1
59,853780128,nrhone,0,122.96,DST Bengals  WR Dez Bryant FLEX Jaron Brown WR Randall Cobb TE Cameron Brate WR Chris Hogan QB Jameis Winston RB Duke Johnson Jr. RB Todd Gurley II,,Brandon Marshall,1.75%,3.5
60,853769843,cmenza,0,122.66,DST Dolphins  WR Dez Bryant RB Andre Ellington TE Dwayne Allen RB Le'Veon Bell WR Mike Evans WR Tyrell Williams QB Jameis Winston FLEX Duke Johnson Jr.,,Robby Anderson,1.75%,3.6
61,853750736,bacontacos,0,122.56,DST Ravens  WR Danny Amendola RB James White FLEX Odell Beckham Jr. TE Austin Seferian-Jenkins WR Mike Evans WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Eddie Lacy,1.75%,3.8
62,853681661,Naten,0,122.46,DST Eagles  RB Le'Veon Bell RB James White WR Chris Hogan WR Jarvis Landry TE Tyler Kroft WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Bilal Powell,1.75%,7.3
63,853713698,Satchl,0,122.16,DST Vikings  RB Carlos Hyde RB James White WR Chris Hogan WR Jarvis Landry TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston FLEX Duke Johnson Jr.,,Antonio Brown,1.75%,28.7
64,853595640,alleycat91,0,121.86,DST Bills  WR Larry Fitzgerald WR DeSean Jackson RB Le'Veon Bell WR Jarvis Landry QB Jameis Winston RB Wayne Gallman TE Evan Engram FLEX Christian McCaffrey,,Marvin Jones Jr.,1.75%,11.4
65,853685352,rexmantooth,0,120.36,DST Cardinals  WR Dez Bryant FLEX Andre Ellington RB Carlos Hyde WR Jarvis Landry WR Mike Evans RB Melvin Gordon QB Jameis Winston TE Evan Engram,,Jesse James,1.75%,5.4
66,853742340,bygmac2002,0,120.16,DST Chiefs  FLEX Jason Witten TE Delanie Walker WR Jeremy Maclin WR Dez Bryant WR Cole Beasley RB Le'Veon Bell QB Jameis Winston RB Todd Gurley II,,Ricardo Louis,1.75%,12.1
67,853490543,SailorBigB,0,120.12,DST Eagles  QB Tom Brady WR T.Y. Hilton RB Le'Veon Bell FLEX Ameer Abdullah TE Austin Seferian-Jenkins WR Adam Humphries WR Ricardo Louis RB Todd Gurley II,,Stefon Diggs,1.75%,1.4
68,853443213,mastert44,0,119.56,WR DeAndre Hopkins DST Bills  TE Antonio Gates FLEX Eddie Lacy RB Le'Veon Bell WR Chris Hogan WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Dak Prescott,1.75%,30.74
69,853664325,crabjuice,0,119.16,WR Markus Wheaton FLEX Adam Thielen DST Eagles  QB Josh McCown TE Charles Clay WR Antonio Brown RB Andre Ellington RB Le'Veon Bell WR Jarvis Landry,,Chargers ,1.75%,10
70,853692809,ajmorstad,0,119.06,DST Cardinals  WR Danny Amendola FLEX Dez Bryant RB Le'Veon Bell WR Jarvis Landry TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Carson Palmer,1.75%,15.64
71,853697375,cam.colquitt,0,118.16,DST Ravens  WR DeSean Jackson RB Andre Ellington WR Jaron Brown WR Randall Cobb RB Le'Veon Bell FLEX Carlos Hyde TE Austin Seferian-Jenkins QB Jameis Winston,,Golden Tate,1.75%,9.8
71,853438352,Nookx,0,118.16,DST Eagles  WR Danny Amendola FLEX Dez Bryant TE Dwayne Allen RB Le'Veon Bell WR Chris Hogan WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Jay Ajayi,1.75%,8.9
71,853731545,Michaelscarn,0,118.16,DST Eagles  WR Danny Amendola FLEX Dez Bryant TE Dwayne Allen RB Le'Veon Bell WR Chris Hogan WR Adam Humphries QB Jameis Winston RB Todd Gurley II,,Latavius Murray,1.75%,6.3
74,853440056,Theresnocryinginbbal,0,117.96,DST Bills  WR Danny Amendola RB Carlos Hyde TE Cameron Brate WR Chris Hogan FLEX Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston RB Todd Gurley II,,Josh McCown,1.75%,14.46
75,853664789,mrbeichner,0,117.92,DST Lions  QB Tom Brady WR Jordy Nelson WR Marvin Jones Jr. RB Carlos Hyde RB James White WR Chris Hogan TE Austin Seferian-Jenkins FLEX Aaron Jones,,LeSean McCoy,1.75%,14.9
76,853636545,arob_allday,0,117.46,DST Titans  RB Frank Gore WR Dez Bryant RB James White WR Jarvis Landry TE Austin Seferian-Jenkins WR Mike Evans QB Jameis Winston FLEX Todd Gurley II,,Sammy Watkins,1.75%,0
77,853627396,peteshyda,0,117.32,DST Vikings  QB Tom Brady WR DeSean Jackson RB Mike Gillislee RB James White FLEX J.J. Nelson WR Chris Hogan WR Mike Evans TE Hunter Henry,,Brian Hoyer,1.75%,25.12
78,853468333,Freebase,0,116.46,DST Raiders  WR T.Y. Hilton RB Le'Veon Bell WR Jarvis Landry WR Mike Evans TE Jesse James QB Jameis Winston RB Duke Johnson Jr. FLEX Evan Engram,,Trent Taylor,1.75%,1.6
79,853631187,wackanation,0,116.26,DST Lions  WR Dez Bryant WR Jaron Brown WR T.Y. Hilton FLEX Carlos Hyde TE Austin Seferian-Jenkins QB Jameis Winston RB Duke Johnson Jr. RB Todd Gurley II,,Cowboys ,1.75%,5
80,853532180,asapchargers,0,114.96,DST Eagles  WR Danny Amendola FLEX Jared Cook WR Dez Bryant WR Jaron Brown RB Le'Veon Bell TE Austin Seferian-Jenkins QB Jameis Winston RB Todd Gurley II,,Kareem Hunt,1.75%,17.6
81,853496201,molenews,0,114.44,DST Lions  WR Dez Bryant WR Chris Hogan WR Jarvis Landry FLEX Ameer Abdullah QB Dak Prescott RB Duke Johnson Jr. RB Todd Gurley II TE Evan Engram,,Browns ,1.75%,6
82,853710621,njchestnut,0,114.26,DST Eagles  FLEX Dez Bryant RB Le'Veon Bell RB Carlos Hyde WR Rishard Matthews WR Jarvis Landry TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston,,Aldrick Robinson,1.75%,1.5
83,853448469,jrsteen35,0,114.16,WR Will Fuller V DST Ravens  RB Bilal Powell WR Antonio Brown RB James White WR Mike Evans FLEX DeVante Parker QB Jameis Winston TE O.J. Howard,,Doug Martin,1.75%,15.2
84,853689220,twindad32,0,113.16,DST Eagles  WR Danny Amendola RB Carlos Hyde TE Cameron Brate WR Chris Hogan WR Mike Evans FLEX Adam Humphries QB Jameis Winston RB Todd Gurley II,,DeMarco Murray,1.75%,9.9
85,853468782,PhilaJelphia,0,112.76,DST Lions  WR Dez Bryant RB Andre Ellington WR T.Y. Hilton WR Mike Evans QB Jameis Winston RB Todd Gurley II TE Hunter Henry FLEX Evan Engram,,Paul Richardson,0.88%,6.5
86,853690904,dtsports,0,112.56,DST Eagles  WR T.Y. Hilton WR Kenny Stills RB Le'Veon Bell RB Carlos Hyde TE Austin Seferian-Jenkins WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,Devin Funchess,0.88%,18.3
87,853537532,kochy11,0,112.46,DST Jets  FLEX LeGarrette Blount RB Carlos Hyde TE Cameron Brate RB James White WR Keenan Allen WR Chris Hogan WR Mike Evans QB Jameis Winston,,Antonio Gates,0.88%,4.3
88,853659514,scaquatics,0,111.16,TE Zach Miller DST Cardinals  WR Aldrick Robinson WR Jaron Brown RB Le'Veon Bell FLEX Carlos Hyde WR Mike Evans QB Jameis Winston RB Leonard Fournette,,O.J. Howard,0.88%,0
89,853414085,TheMish,0,110.86,DST Cardinals  WR Brandon Marshall WR Pierre Garcon RB James White WR Jarvis Landry TE Austin Seferian-Jenkins QB Jameis Winston RB Todd Gurley II FLEX Ezekiel Elliott,,Raiders ,0.88%,0
89,853766298,freddygale,0,110.86,DST Jets  TE Jared Cook RB DeMarco Murray RB Le'Veon Bell FLEX Carlos Hyde WR Chris Hogan WR Jarvis Landry WR Adam Humphries QB Jameis Winston,,Tyrod Taylor,0.88%,9.94
91,853614663,sdonegon,0,110.34,DST Steelers  QB Aaron Rodgers TE Delanie Walker WR Larry Fitzgerald FLEX Dez Bryant WR Mike Evans WR Adam Humphries RB Duke Johnson Jr. RB Wayne Gallman,,Tarik Cohen,0.88%,2.2
92,853618559,Jcraig24,0,109.66,TE Zach Miller DST Cardinals  WR Danny Amendola RB Le'Veon Bell RB Carlos Hyde WR Chris Hogan WR Adam Humphries QB Jameis Winston FLEX Todd Gurley II,,49ers ,0.88%,6
93,853464951,MSVS,0,108.56,FLEX Lamar Miller DST Bills  WR Dez Bryant RB LeGarrette Blount TE Dwayne Allen RB Le'Veon Bell WR Jarvis Landry WR Mike Evans QB Jameis Winston,,Cooper Kupp,0.88%,7.4
